MID,message,category
4076,i want to make payment of my reliance 4g data card. how can i?,recharge
4077,is there a chargeback on recharge of dth,recharge
4078,could suggest me a park nearby,nearby
4079,not got refer amount for one of my refer,recharge
4080,find movies at my location,movies
4081,near by theatres,movies
4082,remind me frm 2nrw,reminders
4083,can u please tell me about government hospital near to my location,nearby
4084,i want to do a recharge,reminders
4085,need a carpenter to fix door which is jamming,support
4086,"hi	is there any taxi service for jammu to katra?",travel
4087,can you help me with this recharge first,recharge
4088,hey can you find me handicraft market  in jaipur,nearby
4089,akash institute,nearby
4090,irctc,travel
4091,can you check the rates for coming tuesday also,travel
4092,can i get the atm nearby which dispatches only 100 rupee currency notes ?,nearby
4093,8356802365,recharge
4094,"yeshwantpur , bangalore",travel
4095,how will you remind me?,reminders
4096,ok sharing ola,travel
4097,tambaram,travel
4098,first one is very close from my location,nearby
4099,i paid my electricity bill on 26 feb,recharge
4100,hey can you recommend any other option for sea view restaurant,food
4101,coupon code not applicable?,travel
4102,is tickets available for 2 july ac 2 tier today?,travel
4103,any more medical shop near to this,nearby
4104,looking for hdfc branch,nearby
4105,near chemist,nearby
4106,any other service provider?,support
4107,8129340639 recharged 122 air tell 3g/4g,recharge
4108,need immidiate ride to airport,travel
4109,i have done a recharge of 150,recharge
4110,sorry make it 8:30am only,reminders
4111,today at 9 pm,food
4112,stop giving calls for water drinking...,reminders
4113,"& can u tell me, if any reason we have to cancelled the reservation.",travel
4114,this costly then goibibo,travel
4115,4642230466 please check pnr,travel
4116,on 20/03/17,food
4117,show me rate for 1 passenger,travel
4118,set me a reminder every saturday for my application,reminders
4119,electrican required for fan repair,support
4120,very far from my place,nearby
4121,do you guys book international flights??,travel
4122,any tickets for atq below 1500,travel
4123,can you send me address of carnival movie star goregaon,movies
4124,i ha've not screen shot,recharge
4125,15 min frm now,reminders
4126,wake me up at 9.30 tomorrow,reminders
4127,no one contacted me for pickup,travel
4128,i am not able to specify exact locations,food
4129,could you find me one in the opposite direction of the icici bank?,nearby
4130,sorry remind me by 3pm,reminders
4131,i want to book hotel accord in ranchi,travel
4132,i have cash,food
4133,"		i would like to cancel my drink water reminder reminder for everyday at every 30 minutes from 10:00 am to 8:00 pm. { reminder_list: 633067, user_id: 1961571, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4134,"hi, i'm interested in watching silence.{movie_name:silence}{task}",movies
4135,i m going to jalaun,travel
4136,is there any fackar hospital,nearby
4137,"		i would like to cancel my drink water reminder reminder for everyday at every 3 hours from 10:00 am to 8:00 pm. { reminder_list: 482610, user_id: 1899947, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4138,which is the best bank in private sector near palarivattom kochi,nearby
4139,"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 691742, user_id: 1979339, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4140,ha recharge karana hai,recharge
4141,"		i would like to cancel my call karan reminder for sat, 04 march at 10:49 am { reminder_list: 700983, user_id: 1978368, task_name: call_someone, offset: 0, api_name: exotel }",reminders
4142,please remaining today 3pm revived tapal,reminders
4143,whr is metro station,travel
4144,how many days i have to use that cashback amount??,recharge
4145,i need know the rate chart of pantry food of rajdhani,food
4146,jio office near by,nearby
4147,there is no point in cancelling if there is no refund. can we change the date and place of journey,travel
4148,"i dont have tickets 	can't you read 	i want it",travel
4149,check few tifin services in mumbai ...malad west,food
4150,can u set me alarm of 5:45 and 6 am everyday except sunday,reminders
4151,can you share me the address ? pls,nearby
4152,"		i would like to cancel my call jolly reminder for sun, 14 may at 11:55 pm { reminder_list: 684117, user_id: 1974469, task_name: call_someone, offset: 0, api_name: exotel }",reminders
4153,same location and destination,travel
4154,the food was horrible,food
4155,nothing all i like some.comedy buzz movie and i.think its all.movies are dramatic and action thriller.movie.right kaushik,movies
4156,can you find advocate in patel nagar,nearby
4157,dear sir i want some changes in this schedule ...,reminders
4158,it's too costly ll u gay's r collecting any extra money for booking and all,support
4159,location ub mall bangalore,nearby
4160,i want the deluxe hotel rate in gangtok,food
4161,hi can you give list of flights to dehradun,travel
4162,"hi, i want a cab for an outstation trip{task}",travel
4163,please check pnr status  8412566674,travel
4164,kolkata st  to. rampur hat,travel
4165,can i off my internet data in my mobile,reminders
4166,at navi mumbai,food
4167,sir is there any romantic kannada movie,movies
4168,remind me blazer stitching at 2:00,reminders
4169,plz check my pnr,travel
4170,train no. 14115,travel
4171,"hi, i have a meeting coming up, can you remind me?{task}",reminders
4172,no thanks i am in dubai,travel
4173,any restaurants are here?,food
4174,the last air tkt sent to me ccu-delhi is from haptik and not from goibibo.,travel
4175,vimalagiri,nearby
4176,any date after 15th may,travel
4177,i want from mettupalayam to ooty,travel
4178,departure city not mentioned,travel
4179,full movie raees,movies
4180,icicles atm,nearby
4181,8656413360 pmr status,travel
4182,this is final chart or it may change again.,travel
4183,what is the story line of guardians,movies
4184,snapdeal customers number,support
4185,jabalpur to banglore and date 15th april return on 26th april,travel
4186,"hi, i'm interested in watching jolly llb 2. {movie_name:jolly llb 2}{task}",movies
4187,every hour,reminders
4188,nagarkovil cap service,support
4189,set wake up alarm for me for today at every  5-5minute interval from 11:45 to 12:45,reminders
4190,"del to bom with indigo 6e-223 at 10:40 hrs on mon, 20 mar",travel
4191,can i try some juice than having water?,reminders
4192,i'll return by train,travel
4193,"18, 19, 20	which one is low rate",travel
4194,cab booked,travel
4195,can you mail me tickets?,travel
4196,show me all routes of train from narwana(nwr) junction to faridabad junction (fbd),travel
4197,it's too expensive,food
4198,iam not busy iam drinking water,reminders
4199,hey i needed a call reminder for my drinking water,reminders
4200,i want manappuram gold loan near srinivas theatre uppal,nearby
4201,how selected for me,travel
4202,"task: do puka	date: 05-03-2017	time: 10.30 am",reminders
4203,i want lvb atm,nearby
4204,close this reminder,reminders
4205,baby care shop nearby,nearby
4206,"hey, can you remind me to wish someone on their birthday?{task}",reminders
4207,call me at 5.30pm,reminders
4208,if we turned off d mobile data we wont get alert,reminders
4209,i like to order biriyani,food
4210,it's been postponed to tuesday,food
4211,i need bus ticket,travel
4212,thanks for reminding,reminders
4213,in 2hrs,reminders
4214,near station road,food
4215,i want to set  reminder,reminders
4216,web check in,travel
4217,dere must be a call or some ringing notifications,reminders
4218,2 mints,reminders
4219,my pan card no is awmpm4688a,travel
4220,any club in fatehabad road,food
4221,i did not receive any receipt till now,travel
4222,in first class pls book,travel
4223,"please show me one way flights from new delhi to mumbai 		onward date - 11 march",travel
4224,what is the coupon code for electricity bill,recharge
4225,you call on 9820033391,reminders
4226,need micro,travel
4227,i need a bar,nearby
4228,train ticket ceack,travel
4229,night show today,movies
4230,want to know the estimated fare,travel
4231,they are saying tables are full,food
4232,what is the offer for flight booking,travel
4233,y m nt able to recharge,recharge
4234,remind me to call mayur at 8 tonight,reminders
4235,reviews for john wick,movies
4236,i booked for a top up..not a special recharge,recharge
4237,don't forget for the reminder for the hair oil which i already set,reminders
4238,i would like to set a reminder for tomorrow at 12:00 pm as i have a appointment with dr.,reminders
4239,is this booked,support
4240,"hi sakshi..we have recharged with ,20 for vodaphone...but dint get operater confirm...",reminders
4241,menu for dikshnts delicious,food
4242,mujhse rajchandr pur se dhakhinear ki local train ki time table dikhao subha se sam tk ki,travel
4243,i want body massage centres in sri nagar colony hyderabad,nearby
4244,omax city 1,food
4245,future market insights pune to nearest sbi bank,nearby
4246,victoria,nearby
4247,"		i would like to cancel my reminder to 'call nab bank' for tue, 07 march at 09:09 pm { reminder_list: 697922, user_id: 1869392, task_name: other, offset: 0, api_name: exotel }",reminders
4248,i need to find the best beauty parlours available near my present location.,nearby
4249,i have travels booking options.??,travel
4250,want to book a flight from blt to pat,travel
4251,narnual to delhi,travel
4252,get me telugu movies,movies
4253,please cancel all my reminders,reminders
4254,no i didn't book any ticket so far,travel
4255,"hi	may i know where is the nearest airtel office?",nearby
4256,how much time to go to guru dronacharya metro station,travel
4257,can i use haptik balance of rs.250 while booking,food
4258,remind me today at 9.20pm,reminders
4259,no just add reminders heading as eb house,reminders
4260,singam,movies
4261,6:30 am today,reminders
4262,kindly share promo code of mobile recharge on 300 or more,recharge
4263,tell me reviews for both of dem,movies
4264,need to travel from tambaram to attur on this friday,travel
4265,remind me to eat eggs everyday at 9 pm,reminders
4266,which cabs can be booked through haptik?,travel
4267,"please show me one way flights from bangalore to new delhi 		onward date - 27 march",travel
4268,naresh i have booked my tickets on 3rd friday at 10pm for the movie kuttram 23 kindly remaind me 2hrs before,reminders
4269,6:30am today,reminders
4270,any direct train from delhi to hisar,travel
4271,want to end reminder,reminders
4272,i will get 75 rs cash back ??,travel
4273,plz give me tha list of thriller hollywood movies,movies
4274,guru harkishan marg pickup,travel
4275,yusuf its.already set just change the time,reminders
4276,arrival of flights from mumbai on tuesday the 7th of march,travel
4277,from dominos,food
4278,"		i would like to cancel my wake up call for fri, 03 march at 07:40 am { reminder_list: 686928, user_id: 1976372, task_name: wakeup, offset: 0, api_name: exotel }",reminders
4279,onward date - 02 march,travel
4280,i m book within 15min,food
4281,"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 713396, user_id: 1983938, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4282,7.50 am everyday,reminders
4283,"mumbai to delhi, fly on thursday return monday",travel
4284,bangalore to shiradi,travel
4285,wer is my time 2,reminders
4286,then remind me to select restraunt today at 11 am. .,reminders
4287,2 tkts,travel
4288,and i need to set call remainder thank you,reminders
4289,nakshatra,nearby
4290,suman it's 3:30 in the morning,reminders
4291,reliance jio company,recharge
4292,which is the best flight in spicejet indigo jet airways,travel
4293,blue film,movies
4294,adult,travel
4295,direct flight,travel
4296,cost per night?,travel
4297,hey can u find me nearest shopping mall,nearby
4298,can u share pizza hut contact near by,food
4299,please cancel my reminder call to 9'o clock,reminders
4300,new delhi to mumbai,travel
4301,is that a pathology lab,nearby
4302,indore,travel
4303,4541 669 555,travel
4304,"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 727893, user_id: 1656706, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4305,find me a nearby kindle garden,nearby
4306,can you book me a table at penthouzz?,food
4307,still m i aligable to get 75rs cash back,travel
4308,book for saturday,travel
4309,ranasthalam,food
4310,any special code for recharge,recharge
4311,train tickets 3 rd tier,travel
4312,pless conform atm macine in sujanganj,nearby
4313,please inform me location of 12334 down vibhuti express,travel
4314,wake me up at 1 pm,reminders
4315,its charging jack is not working,support
4316,can i add money,recharge
4317,rampali,food
4318,hey do you have any offer on this movie,movies
4319,offer for movie tickets,movies
4320,4229274534,travel
4321,im wait last ... dots,reminders
4322,wat is the cab cost to chennai airport,travel
4323,looking for hdfc bank not atm,nearby
4324,pls stop remainder,reminders
4325,bsz to bnda,travel
4326,i wanna travel to bidar by bus,travel
4327,"		i would like to cancel my wake up call for fri, 03 march at 06:15 am { reminder_list: 688782, user_id: 1804442, task_name: wakeup, offset: 0, api_name: exotel }",reminders
4328,is any offers for hdfc card holders?,recharge
4329,i had clearly picked the top up option for ₹32,recharge
4330,i will drink once i reach home thanks,reminders
4331,1105am eat breakfast toast,reminders
4332,petropumo,nearby
4333,kapasan to udaipur,travel
4334,yes every day,reminders
4335,please tell me running status,travel
4336,i want know about shatabdi express solapur to pune,travel
4337,can you please give running status of 12859,travel
4338,can u tell me if member increase the restaurant can arrange.,food
4339,am looking for hotel booking in goa,travel
4340,i want to my all reminder close,reminders
4341,i need a fresh booking,travel
4342,book a flight for goa,travel
4343,waiting list status of my booked train tickets please,travel
4344,i need a bus to pondicherry from bangalore for 2 people on 8th night this month,travel
4345,"vetal nagar, sai colony, ambegaon bk",travel
4346,more movies,movies
4347,"can you put a reminder to call kaushik bhai in ambuja, kalol at 10.30 am on monday",reminders
4348,jaipur to bangalore,travel
4349,i want from indore airport to ujjain city,travel
4350,add telugu movies,movies
4351,if m not wrong these are total 5 tasks,reminders
4352,check pnr status of above train,travel
4353,other movie,movies
4354,pushp vihar sce 4 nera,food
4355,find music classes near me,nearby
4356,"remind me on 12th march to call	accounts",reminders
4357,sir i want micro,travel
4358,the price is too high,travel
4359,i want the nearest icici atm,nearby
4360,"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 723446, user_id: 1985976, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4361,do u book concert tickets,movies
4362,i want to search,travel
4363,can u arrange best mnp plans,recharge
4364,timings for bangalore to goa can be anytime,travel
4365,tomorrow morning at 11am i want to call from my number 9742746035 to book a train ticket,travel
4366,u cant send sms when im offline,reminders
4367,canceelled ticket,travel
4368,cheapest flights from kochi to kolkatta,travel
4369,"		i would like to cancel my wake up call for sat, 04 march at 04:30 am { reminder_list: 700828, user_id: 1972917, task_name: wakeup, offset: 0, api_name: exotel }",reminders
4370,i can't see my wallet balance of 250 rs,recharge
4371,any offer in vodafone postpaid,recharge
4372,15% cb,travel
4373,want to book flight from chennai to goa,travel
4374,i want to know  petrol pump nearby me,nearby
4375,i want u to tell me the nearest atm having 100 rs note,nearby
4376,looking for flights,travel
4377,recharge,recharge
4378,"		i would like to cancel my wake up call for fri, 03 march at 05:00 am { reminder_list: 686199, user_id: 1951200, task_name: wakeup, offset: 0, api_name: exotel }",reminders
4379,pl modify meeting reminder with mr debjyoti today at 3-45 pm. to tomorrow at 3-45 pm.,reminders
4380,cinemax,movies
4381,get me reminder on basis of location,reminders
4382,please tell me the fare ofcab or bus for jalandhar from agra,travel
4383,"my pickup is- 	cello triumph, ib patel road, goregaon east, jay prakash nagar, goregaon east, mumbai, maharashtra 400063, india {note}",travel
4384,i need buses,travel
4385,set an alarm for me,reminders
4386,want to go to cst,travel
4387,find,nearby
4388,9 feb...,reminders
4389,m not looking for a normal medical store,nearby
4390,hey check that pnr no.,travel
4391,can i add wallet money here?,food
4392,am i still applicable to get cashback on my 4th cab ride?,travel
4393,i hve a train today,travel
4394,bramh putra mail del to mxr,travel
4395,hi any recharge coupon,recharge
4396,shirdi to manmad bus,travel
4397,how to link uber account to haptik,travel
4398,"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 692093, user_id: 1824312, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4399,i m designer wedding photography,support
4400,"it's been 3 days , i deactivated my account in urbanclap",support
4401,thank you  and  if possible please send the this regular updates,reminders
4402,i didn't get one yesterday morning also,reminders
4403,in which theater the hogan was released,movies
4404,can i know how much is the cost for wonderla tommoro per person i'm a student,movies
4405,get me good trip plan to dandelion,travel
4406,akshay haptik me pehle online foods ordr hota tha..ab uska koi option kyu nhi aa rha,food
4407,flight only national or international,travel
4408,"thanjavur to chennai egmore	05/03/17 night one berth",travel
4409,12/30/1899,reminders
4410,kerala kannur me hair wale dr ko dikhana hai,nearby
4411,i want to go to banglore airport,travel
4412,i would like u to inform me about drinking water in every 2hrs,reminders
4413,ohhhh..sorry...i want to set another subject reminder,reminders
4414,today 8 am alram{task},reminders
4415,any offer on train booking,travel
4416,"i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 512724, user_id: 1923640, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4417,black  person meet vip,reminders
4418,right now i get reminders for drinking water every hour,reminders
4419,"40/1/7, katraj ambegaon khurd road",travel
4420,nearby shoes market,nearby
4421,train timinings,travel
4422,also is there any early train,travel
4423,nasik to shirdi by bus,travel
4424,"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 661091, user_id: 1689770, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4425,please find a nearest agm for me with full of cash,nearby
4426,april 4th,reminders
4427,can you set an alarm for 8 in the morning tomorrow.,reminders
4428,"		i would like to cancel my `wish uday happy birthday!` reminder for sat, 05 august at 10:39 am { reminder_list: 690621, user_id: 1977338, task_name: birthday, offset: 0, api_name: exotel }",reminders
4429,it's not chepest.. mmt showing 3400 pp,travel
4430,pls send me a receipt,food
4431,when it will arrive at new delhi,travel
4432,dc car show room,nearby
4433,"i want to know availability and fare in ac 3 tier (3a) in train number 12313{product_id:12313_sdah_ndls,api_name:trains_api}",travel
4434,can you share contact no of service center,support
4435,remind me to enjoy my life daily at 8 am,reminders
4436,the upside time,travel
4437,looking for nearby post office with speed post facility,nearby
4438,give me only one way from jaipur to nagpur,travel
4439,monthly star mail,food
4440,does ur alarm or reminders require internet,reminders
4441,u sad  no train ticket ava lib to tirupathi,travel
4442,provide me with the list of badminton courts having pay per hour system in kolkata,nearby
4443,tmrw mng 09:30,support
4444,no..i don't need cab at this time,travel
4445,82565 89875 pnr no,travel
4446,is this the wake up alarm??,reminders
4447,direct,travel
4448,"		i would like to cancel my to-do: jogging time for everyday at 05:45 pm { reminder_list: 464951, user_id: 1850043, task_name: to_do, offset: 0, api_name: exotel }",reminders
4449,oh i want cbi atm,nearby
4450,can you remind me everyday at 6 in the evening to go for a run and drink coffee or a glass of salt water.,reminders
4451,"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 715374, user_id: 1975116, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4452,tarkal,travel
4453,i want enquiry number of d y patil international school pune,nearby
4454,this promo code,recharge
4455,remind me to check crown it on friday at 3.45pm,reminders
4456,why din you calll me i gave an remindsr yesturday,reminders
4457,"but if are taking so long, then ticket fare may increase...",travel
4458,hi... i want a maid for baby in jaipur ..can u help me with that,support
4459,what is the cost for small and midium size for corn pizza,food
4460,i will go when i get cheap tickets,travel
4461,check hotels nearby pune railway station,travel
4462,offers for cab?,travel
4463,any 10 rs available for any movies,movies
4464,madam i am driver,support
4465,logan is the movie,movies
4466,after every 1hour,reminders
4467,"please show me one way flights from mumbai to chennai 		onward date - 24 march",travel
4468,"how can i off this remainder...	i had completed my course",reminders
4469,booked earlier,travel
4470,"saturday	4231582947 deepak lulla	n5 lcd",reminders
4471,want to use wallet balance,food
4472,what food can i get right now??,food
4473,nail polish 💅🏻 shop,nearby
4474,i want flight within rs 1500,travel
4475,hi sakshi my electricity bill is still peding.,recharge
4476,"unable to set wake up call, seems not user friendly",reminders
4477,movie,movies
4478,25 members,food
4479,ernakulam,food
4480,please upload my all tickets,travel
4481,need a hotel booking,travel
4482,i thought i can reach my destination for 200 rs,travel
4483,check in all the trains to nashik in the morning,travel
4484,mujhe alto agency ka contect number cheye... alwar rajasthan ka,nearby
4485,i have a jio sim card so no need to recharge. and i know you too,recharge
4486,now plz show me my all reminderz,reminders
4487,"i have a movie show in the morning, cane you please remind me",movies
4488,remind me at 9;35,reminders
4489,"hey, i want to book movie tickets.{task}",movies
4490,tom at 8pm,reminders
4491,"2428644243	this is my pnr status kindly give me detail of my waiting list..both pqwl and wl",travel
4492,ok need flight phuket to bangkok,travel
4493,i want you to set up a reminder,reminders
4494,200pm,travel
4495,on sunday night at 9,travel
4496,but payment is not done,recharge
4497,3 march ka,reminders
4498,irctc?,travel
4499,any offers on reliance,recharge
4500,reliance to vodafone or idea,recharge
4501,remind me to get some things,reminders
4502,can you find the nearest atm,nearby
4503,near railway station?,nearby
4504,i had scheduled a cab for 3:40 a.m. can i get it now?,travel
4505,set it for 30 minutes,reminders
4506,hotel fresco palace,travel
4507,hey can u pls check out anjali madam where is a iob atm near by my location,nearby
4508,banglore to delahi 7.2.2017,travel
4509,i want to off my reminder,reminders
4510,send me ticket,travel
4511,punjab national bank,nearby
4512,which is open right now,food
4513,saiyaji,nearby
4514,"tomorrow meeting with vishal 9th cbse at 2pm..	remind me at 1.30pm",reminders
4515,please give regular call until i pick in morning,reminders
4516,can u find the courier service at pin 759018,support
4517,could you please find me hdfc bank nearest to my location,nearby
4518,thanks for all the reminders,reminders
4519,12835,travel
4520,show me movie shows at city pride pune,movies
4521,date is 9th to 10th march,travel
4522,i was luking for train tickets booking,travel
4523,i see jolly llb 2 movie,movies
4524,"24th may, patna, bangalore",travel
4525,i'll do that via official app. how about airtel dth?,recharge
4526,can you add my shop detail in to your database.,nearby
4527,want to travel mumbai to pune  return tom,travel
4528,i want molten lava cake,food
4529,only between 10:00am to 6:00pm,reminders
4530,"chikmagalur, karnataka",nearby
4531,turn off my medicine reminder,reminders
4532,train location,travel
4533,train250 offer still available or not,travel
4534,want to watch la la land,movies
4535,do you have any info about trains traveling to delhi,travel
4536,i want to pay my hathaway broadband bill,recharge
4537,can u wake me up everyday,reminders
4538,need to book flights for 2 for mumbai and return. for a short vacation after visiting shirdi,travel
4539,can you fund icici atm,nearby
4540,can i recharge for jio?,recharge
4541,gd afternoon,reminders
4542,"i would like to cancel my medicine reminder for everyday at 09:30 pm { reminder_list: 361805, user_id: 1866947, task_name: medicine, offset: 0, api_name: exotel }",reminders
4543,hi is there any offer on mobile bill payments,recharge
4544,can u locate any sports shop near my location,nearby
4545,i need ola,travel
4546,aurangabad to nanded train available ??,travel
4547,menu,food
4548,if don't call me again,reminders
4549,nt restaurants,food
4550,"		i would like to cancel my drink water reminder reminder for fri, 03 march at every 30 minutes from 10:00 am to 8:00 pm. { reminder_list: 685605-685606-685607-685609-685610-685611-685612-685613-685614-685615-685616-685617-685618-685619-685620-685621-685622-685623-685624-685625-685626, user_id: 1956738, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4551,i want subway menu,food
4552,"i want to know availability and fare in sleeper (sl) in train number 07439{product_id:07439_bza_kcg,api_name:trains_api}",travel
4553,actually i need this reminder every month on 1,reminders
4554,"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 620653, user_id: 1957209, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4555,delhi to bombay ticket,travel
4556,there is a number of a tran that is 12474. we made a plan to go gujrat. i want to know that is there any seats available for two person on 24 may 2017. i need it from ambala to sabarti,travel
4557,fare?,travel
4558,to book,travel
4559,pnr  m8nlpz  7 march,travel
4560,buffet in powai,food
4561,jhon wick 2,movies
4562,"hello priyanka, i want to get my window ac service done. please let me know the charges",support
4563,theaters,movies
4564,hubballi,travel
4565,wat abt my tdr status,travel
4566,have you recharge jio prime,recharge
4567,show me the return journey prices as well?,travel
4568,comando2 ke show ki timing kya maratha mandir me,movies
4569,it is unlimited calling pack,recharge
4570,no train,travel
4571,call dipakbhai at 10.05 am,reminders
4572,thank you.. i have already booked the tickets..,travel
4573,i want to book bus ticket,travel
4574,plz send menu of global food factory rajouri garden,food
4575,2428786518{task},travel
4576,"		i would like to cancel my drink water reminder reminder for fri, 03 march at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 693975-693976-693977, user_id: 1930915, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4577,i actually want to go to nashik,travel
4578,running status of 12481,travel
4579,"it's a landline bill, i don't remember the exact amount!  somewhere around 400",recharge
4580,i just want to nearby release,movies
4581,"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 710340, user_id: 1060609, task_name: drink_water, offset: 0, api_name: exotel }",reminders
4582,can u order a sub from subway,food
4583,i have already set the reminders,reminders
4584,to hubli next saturday,travel
4585,eligible??,recharge
4586,i want you to remind me not to trust assholes time and again,reminders
4587,on 15 march,food
4588,yes i was about to pay my bill,recharge
4589,show cheaper,travel
4590,i can't understand why is it cancelled,food
4591,do we provide bus bookings as well?,travel
4592,still my order came,food
4593,near edappally,food
4594,hi i want some help with train travle,travel
4595,"hi, i'm interested in watching dangal. {movie_name:dangal}{task}",movies
4596,it is near to chauramata mandir,nearby
4597,i want to know about cash back offer,recharge
4598,please tell me the fare for monrovia to mumbai,travel
4599,how many remainder you have set for me,reminders
4600,gateygalaxy theatre,movies
4601,commando2 in nandyal,movies
4602,is the payment done,food
4603,i'm tapping but it's not connecting,travel
4604,appx 10.30 am,reminders
4605,"		i would like to cancel my wake up call for sun, 05 march at 12:15 pm { reminder_list: 691119, user_id: 1979136, task_name: wakeup, offset: 0, api_name: exotel }",reminders
4606,remind me on 9th march abt meeting dr for ear stitching,reminders
4607,means after discount,food
4608,in which theatre i can see this movie,movies
4609,i'm in my way to trichy,travel
4610,"please show me one way flights from hyderabad to kochi 		onward date - 09 march",travel
4611,"how much will be the expected fare, for 8-9 kms distance?",travel
4612,wake up me all day at 8 am,reminders
4613,i have any discount code n all ?,reminders
4614,which movie in shoprix mall,movies
4615,pnr bd5itd,travel
4616,thanks vipul for remind me,reminders
4617,i want near sheikh zayed road,nearby
4618,my ride is over,travel
4619,barnala to rajpura first bus ?,nearby
4620,please help me with their fares,travel
4621,the best plan for airtel postpaid,recharge
4622,pay bill,recharge
4623,whats the cost,food
4624,"hi, i'm interested in watching dwaraka. {movie_name:dwaraka}{task}",movies
4625,"remind me tomorrow morning		meetings on monday	10 am vishal ji with dashpreet 	2 pm pc jain with vijay thakur",reminders
4626,"		i would like to cancel my reminder to 'thanks' for everyday at 07:30 am { reminder_list: 591013, user_id: 1944119, task_name: other, offset: 0, api_name: exotel }",reminders
4627,"		i would like to cancel my reminder for everyday at 08:00 am { reminder_list: 648179, user_id: 1932004, task_name: other, offset: 0, api_name: exotel }",reminders
4628,"hey, can you send me regular reminders to drink water 💧 ? {task}",reminders
4629,i want the menu of pizza hut,food
4630,18406,travel
4631,taxi required at chandigarh airport to ludhuana.  pl inform,travel
4632,where do i get good shawarma here?,food
4633,need 190 rc airtel.,recharge
4634,electricity fuse is getting tripped frequently after last electrician did something,support
4635,is there any cashback on booking train ticket,travel
4636,i want to mumbai area show time,movies
4637,"for the above details, can u tell me which type of cab is?",travel
4638,"		i would like to cancel my wake up call for sat, 04 march at 07:35 am { reminder_list: 701817, user_id: 1937293, task_name: wakeup, offset: 0, api_name: exotel }",reminders
4639,"		i would like to cancel my wake up call for mon, 06 march at 06:00 am { reminder_list: 725389, user_id: 1984495, task_name: wakeup, offset: 0, api_name: exotel }",reminders
4640,what's code,recharge
4641,i think dat is chepst one,travel
4642,i will wait until tickets below 1700. tell me later,travel
4643,jio store,nearby
4644,can you find me the cheapest flight from imphal to guwahati 28th april,travel
4645,villiwakkam to changelpet season  ticket cost,travel
4646,call me at 6.59,reminders
4647,movie tonight,reminders
4648,i don't get your reminders,reminders
4649,i want to know if senior citizens can. easily book cab,travel
4650,hey i need to be reminded of sunday meeting at 11:00 am,reminders
4651,payment done,travel
4652,shell petrol station,nearby
4653,"i am khandeshwar, navi mumbai",food
4654,please show me trains from r to kur for sleeper (sl) on 12-03-2017.,travel
4655,have you got the payment,food
4656,ticket's,travel
4657,its done and ride amount was 100 paid vy ola money,travel
4658,plez tell me train delay or not,travel
4659,stop this wake up calls,reminders
4660,we are 10 people wants to travel to amritsar,travel
4661,i want have some non veg pizzas,food
4662,i did not say u to call,reminders
4663,i need m r f tayar showroom,food
4664,pls cancel the alarm,reminders
4665,stop this service please,reminders
4666,how much distance from aadityavardhan,nearby
4667,my class is tommorow at 1pm do call me,reminders
4668,no thanks i booked my self,travel
4669,please set my wake up alarm at 08:00am weekdays,reminders
4670,i have to go for movie,movies
4671,jiowifi availability to bagalkot,recharge
4672,freecharge mobile recharge ofers,recharge
4673,what is current pnr status of farakkha express,travel
4674,wht will be the charge,food
4675,i wnt to see menu,food
4676,whts rediscover the epic,travel
4677,hrtc volvo from delhi to nainital,travel
4678,59721 today status,travel
4679,is there any bbq in ranchi?,food
4680,what is the best price for a room at grand  millenium hotel in dubai t com area{task},travel
4681,can you remind me,reminders
4682,i want to book the train tickets dear,travel
4683,cancel task 2,reminders
4684,i know cng pump,nearby
4685,i need cashless ride only,travel
