movie_title,director_name,color,duration,actor_1_name,language,country,title_year
Species,Roger Donaldson,Color,108,Natasha Henstridge,English,USA,1995
A Nightmare on Elm Street,Wes Craven,Color,101,Johnny Depp,English,USA,1984
The Cell,Tarsem Singh,Color,109,Dylan Baker,English,USA,2000
The Man in the Iron Mask,Randall Wallace,Color,132,Leonardo DiCaprio,English,USA,1998
Secretariat,Randall Wallace,Color,123,Scott Glenn,English,USA,2010
TMNT,Kevin Munroe,Color,87,Chris Evans,English,Hong Kong,2007
Radio,Michael Tollin,Color,109,Alfre Woodard,English,USA,2003
Friends with Benefits,Will Gluck,Color,109,Mila Kunis,English,USA,2011
Neighbors 2: Sorority Rising,Nicholas Stoller,Color,92,Chloë Grace Moretz,English,USA,2016
Saving Mr. Banks,John Lee Hancock,Color,125,Tom Hanks,English,USA,2013
Malcolm X,Spike Lee,Color,202,Denzel Washington,English,USA,1992
This Is 40,Judd Apatow,Color,134,Charlyne Yi,English,USA,2012
Old Dogs,Walt Becker,Color,88,Robin Williams,English,USA,2009
Underworld: Rise of the Lycans,Patrick Tatopoulos,Color,92,Craig Parker,English,USA,2009
License to Wed,Ken Kwapis,Color,91,Robin Williams,English,USA,2007
The Benchwarmers,Dennis Dugan,Color,75,Jon Lovitz,English,USA,2006
Must Love Dogs,Gary David Goldberg,Color,98,Stockard Channing,English,USA,2005
Donnie Brasco,Mike Newell,Color,147,Johnny Depp,English,USA,1997
Resident Evil,Paul W.S. Anderson,Color,100,Milla Jovovich,English,UK,2002
Poltergeist,Tobe Hooper,Color,120,Heather O'Rourke,English,USA,1982
The Ladykillers,Ethan Coen,Color,104,J.K. Simmons,English,USA,2004
Max Payne,John Moore,Color,103,Mila Kunis,English,Canada,2008
In Time,Andrew Niccol,Color,109,Matt Bomer,English,USA,2011
The Back-up Plan,Alan Poul,Color,104,Danneel Ackles,English,USA,2010
Something Borrowed,Luke Greenfield,Color,112,Ashley Williams,English,USA,2011
Hit the Floor,,Color,60,Jodi Lyn O'Keefe,English,USA,
Black Knight,Gil Junger,Color,95,Tom Wilkinson,English,USA,2001
The Bad News Bears,Michael Ritchie,Color,102,Tatum O'Neal,English,USA,1976
Street Fighter,Steven E. de Souza,Color,102,Ming-Na Wen,English,Japan,1994
The Pianist,Roman Polanski, Black and White,150,Emilia Fox,English,France,2002
From Hell,Albert Hughes,Color,122,Johnny Depp,English,USA,2001
The Nativity Story,Catherine Hardwicke,Color,101,Keisha Castle-Hughes,English,USA,2006
House of Wax,Jaume Collet-Serra,Color,108,Robert Ri'chard,English,Australia,2005
Closer,Mike Nichols,Color,98,Natalie Portman,English,USA,2004
J. Edgar,Clint Eastwood,Color,137,Leonardo DiCaprio,English,USA,2011
Mirrors,Alexandre Aja,Color,112,Jason Flemyng,English,USA,2008
Queen of the Damned,Michael Rymer,Color,101,Aaliyah,English,USA,2002
Predator 2,Stephen Hopkins,Color,103,Adam Baldwin,English,USA,1990
Untraceable,Gregory Hoblit,Color,101,Billy Burke,English,USA,2008
Blast from the Past,Hugh Wilson,Color,112,Brendan Fraser,English,USA,1999
Flash Gordon,Mike Hodges,Color,111,Brian Blessed,English,UK,1980
Jersey Girl,Kevin Smith,Color,102,Stephen Root,English,USA,2004
Alex Cross,Rob Cohen,Color,101,Cicely Tyson,English,USA,2012
Midnight in the Garden of Good and Evil,Clint Eastwood,Color,155,Kevin Spacey,English,USA,1997
Heist,Scott Mann,Color,93,Robert De Niro,English,USA,2015
Nanny McPhee Returns,Susanna White,Color,109,Daniel Mays,English,UK,2010
Hoffa,Danny DeVito,Color,140,Frank Whaley,English,USA,1992
The X Files: I Want to Believe,Chris Carter,Color,108,Mitch Pileggi,English,USA,2008
Ella Enchanted,Tommy O'Haver,Color,96,Anne Hathaway,English,USA,2004
Concussion,Peter Landesman,Color,123,Will Smith,English,UK,2015
Abduction,John Singleton,Color,106,Ken Arnold,English,USA,2011
Valiant,Gary Chapman,Color,76,Jim Broadbent,English,UK,2005
Wonder Boys,Curtis Hanson,Color,107,Robert Downey Jr.,English,USA,2000
Superhero Movie,Craig Mazin,Color,82,Drake Bell,English,USA,2008
Broken City,Allen Hughes,Color,109,Alona Tal,English,USA,2013
Cursed,Wes Craven,Color,99,Shannon Elizabeth,English,USA,2005
Premium Rush,David Koepp,Color,91,Joseph Gordon-Levitt,English,USA,2012
Hot Pursuit,Anne Fletcher,Color,87,Jim Gaffigan,English,USA,2015
The Four Feathers,Shekhar Kapur,Color,125,Djimon Hounsou,English,UK,2002
Parker,Taylor Hackford,Color,118,Jason Statham,English,USA,2013
Wimbledon,Richard Loncraine,Color,98,Kirsten Dunst,English,UK,2004
Furry Vengeance,Roger Kumble,Color,92,Brendan Fraser,English,USA,2010
Bait,Kimble Rendall,Color,93,Alex Russell,English,Australia,2012
Krull,Peter Yates,Color,116,Liam Neeson,English,UK,1983
Lions for Lambs,Robert Redford,Color,92,Meryl Streep,English,USA,2007
Flight of the Intruder,John Milius,Color,115,Rosanna Arquette,English,USA,1991
Walk Hard: The Dewey Cox Story,Jake Kasdan,Color,120,Tim Meadows,English,USA,2007
The Shipping News,Lasse Hallström,Color,111,Kevin Spacey,English,USA,2001
American Outlaws,Les Mayfield,Color,94,Gregory Smith,English,USA,2001
The Young Victoria,Jean-Marc Vallée,Color,100,Michiel Huisman,English,UK,2009
Whiteout,Dominic Sena,Color,101,Tom Skerritt,English,USA,2009
The Tree of Life,Terrence Malick,Color,139,Brad Pitt,English,USA,2011
Knock Off,Hark Tsui,Color,91,Paul Sorvino,English,Aruba,1998
Sabotage,David Ayer,Color,109,Mireille Enos,English,USA,2014
The Order,Brian Helgeland,Color,102,Heath Ledger,English,USA,2003
Punisher: War Zone,Lexi Alexander,Color,103,Julie Benz,English,USA,2008
Zoom,Peter Hewitt,Color,83,Kevin Zegers,English,USA,2006
The Walk,Robert Zemeckis,Color,123,Joseph Gordon-Levitt,English,USA,2015
Warriors of Virtue,Ronny Yu,Color,101,Marley Shelton,English,USA,1997
A Good Year,Ridley Scott,Color,117,Archie Panjabi,English,USA,2006
Luther,,Color,60,Ruth Wilson,English,UK,
Radio Flyer,Richard Donner,Color,114,Adam Baldwin,English,USA,1992
Smilla's Sense of Snow,Bille August,Color,121,Jim Broadbent,English,Denmark,1997
Femme Fatale,Brian De Palma,Color,114,Peter Coyote,English,France,2002
Lion of the Desert,Moustapha Akkad, Black and White,156,Oliver Reed,English,Libya,1980
The Horseman on the Roof,Jean-Paul Rappeneau,Color,135,Olivier Martinez,French,France,1995
Ride with the Devil,Ang Lee,Color,148,Jeremy W. Auman,English,USA,1999
Biutiful,Alejandro G. Iñárritu,Color,148,Maricel Álvarez,Spanish,Mexico,2010
The Lovers,Roland Joffé,Color,109,Tamsin Egerton,English,Belgium,2015
Bandidas,Joachim Rønning,Color,93,Salma Hayek,English,France,2006
Black Water Transit,Tony Kaye,Color,,Bill Cobbs,English,USA,2009
The Maze Runner,Wes Ball,Color,113,Ki Hong Lee,English,USA,2014
Unfinished Business,Ken Scott,Color,91,Tom Wilkinson,English,USA,2015
The Age of Innocence,Martin Scorsese,Color,139,Richard E. Grant,English,USA,1993
The Fountain,Darren Aronofsky,Color,96,Hugh Jackman,English,USA,2006
Chill Factor,Hugh Johnson,Color,102,David Paymer,English,USA,1999
Stolen,Simon West,Color,96,Nicolas Cage,English,USA,2012
Ponyo,Hayao Miyazaki,Color,101,Rumi Hiiragi,Japanese,Japan,2008
The Longest Ride,George Tillman Jr.,Color,128,Tiago Riani,English,USA,2015
The Astronaut's Wife,Rand Ravich,Color,109,Johnny Depp,English,USA,1999
I Dreamed of Africa,Hugh Hudson,Color,114,Liam Aiken,English,USA,2000
Playing for Keeps,Gabriele Muccino,Color,105,Gerard Butler,English,USA,2012
Mandela: Long Walk to Freedom,Justin Chadwick,Color,141,Terry Pheto,English,UK,2013
Reds,Warren Beatty,Color,195,Paul Sorvino,English,USA,1981
A Few Good Men,Rob Reiner,Color,138,Tom Cruise,English,USA,1992
Exit Wounds,Andrzej Bartkowiak,Color,101,Michael Jai White,English,USA,2001
Big Momma's House,Raja Gosnell,Color,99,Nia Long,English,USA,2000
Thunder and the House of Magic,Jeremy Degruson,Color,85,Kyle Hebert,English,Belgium,2013
The Darkest Hour,Chris Gorak,Color,89,Max Minghella,English,USA,2011
Step Up Revolution,Scott Speer,Color,99,Ryan Guzman,English,USA,2012
Snakes on a Plane,David R. Ellis,Color,105,Lin Shaye,English,Germany,2006
The Watcher,Joe Charbanic,Color,97,Keanu Reeves,English,USA,2000
The Punisher,Jonathan Hensleigh,Color,140,Laura Harring,English,USA,2004
Goal! The Dream Begins,Danny Cannon,Color,118,Sean Pertwee,English,USA,2005
Safe,Boaz Yakin,Color,94,Jason Statham,English,USA,2012
Pushing Tin,Mike Newell,Color,124,Angelina Jolie Pitt,English,USA,1999
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,Color,134,Harrison Ford,English,USA,1983
Doomsday,Neil Marshall,Color,113,Ryan Kruger,English,UK,2008
The Reader,Stephen Daldry,Color,124,Kate Winslet,English,USA,2008
Wanderlust,David Wain,Color,98,Justin Theroux,English,USA,2012
Elf,Jon Favreau,Color,97,Peter Dinklage,English,USA,2003
Phenomenon,Jon Turteltaub,Color,123,Robert Duvall,English,USA,1996
Snow Dogs,Brian Levant,Color,99,James Coburn,English,Canada,2002
Scrooged,Richard Donner,Color,101,Bill Murray,English,USA,1988
Nacho Libre,Jared Hess,Color,92,Ana de la Reguera,English,Germany,2006
Bridesmaids,Paul Feig,Color,131,Matt Lucas,English,USA,2011
This Is the End,Evan Goldberg,Color,107,Channing Tatum,English,USA,2013
Stigmata,Rupert Wainwright,Color,103,Nia Long,English,USA,1999
Men of Honor,George Tillman Jr.,Color,129,Robert De Niro,English,USA,2000
Takers,John Luessenhop,Color,107,Paul Walker,English,USA,2010
The Big Wedding,Justin Zackham,Color,89,Robin Williams,English,USA,2013
Source Code,Duncan Jones,Color,93,Jake Gyllenhaal,English,USA,2011
Alive,Frank Marshall,Color,120,Illeana Douglas,English,USA,1993
The Number 23,Joel Schumacher,Color,98,Logan Lerman,English,USA,2007
The Young and Prodigious T.S. Spivet,Jean-Pierre Jeunet,Color,105,Callum Rennie,English,France,2013
1941,Steven Spielberg,Color,142,Christopher Lee,English,USA,1979
Dreamer: Inspired by a True Story,John Gatins,Color,98,Ken Howard,English,USA,2005
A History of Violence,David Cronenberg,Color,96,Viggo Mortensen,English,USA,2005
Transporter 2,Louis Leterrier,Color,87,Jason Statham,English,France,2005
The Quick and the Dead,Sam Raimi, Black and White,107,Leonardo DiCaprio,English,Japan,1995
Laws of Attraction,Peter Howitt,Color,90,Frances Fisher,English,Ireland,2004
Bringing Out the Dead,Martin Scorsese,Color,121,Nicolas Cage,English,USA,1999
Repo Men,Miguel Sapochnik,Color,119,Alice Braga,English,USA,2010
Dragon Wars: D-War,Hyung-rae Shim,Color,107,Robert Forster,English,South Korea,2007
Bogus,Norman Jewison,Color,110,Haley Joel Osment,English,USA,1996
The Incredible Burt Wonderstone,Don Scardino,Color,100,Steve Buscemi,English,USA,2013
Cats Don't Dance,Mark Dindal,Color,75,George Kennedy,English,USA,1997
Cradle Will Rock,Tim Robbins,Color,132,Bill Murray,English,USA,1999
The Good German,Steven Soderbergh, Black and White,105,Tony Curran,English,USA,2006
George and the Dragon,Tom Reeve,Color,93,Joan Plowright,English,USA,2004
Apocalypse Now,Francis Ford Coppola,Color,289,Harrison Ford,English,USA,1979
Going the Distance,Nanette Burstein,Color,102,Rob Riggle,English,USA,2010
Mr. Holland's Opus,Stephen Herek,Color,143,Alicia Witt,English,USA,1995
Criminal,Ariel Vromen,Color,113,Gary Oldman,English,UK,2016
Out of Africa,Sydney Pollack,Color,161,Meryl Streep,English,USA,1985
Flight,Robert Zemeckis,Color,138,Denzel Washington,English,USA,2012
Moonraker,Lewis Gilbert,Color,126,Desmond Llewelyn,English,UK,1979
The Grand Budapest Hotel,Wes Anderson,Color,99,Bill Murray,English,USA,2014
Hearts in Atlantis,Scott Hicks,Color,101,Anthony Hopkins,English,USA,2001
Arachnophobia,Frank Marshall,Color,103,Julian Sands,English,USA,1990
Frequency,Gregory Hoblit,Color,118,Dennis Quaid,English,USA,2000
Ghostbusters,Paul Feig,Color,116,Ed Begley Jr.,English,USA,2016
Vacation,John Francis Daley,Color,99,Chris Hemsworth,English,USA,2015
Get Shorty,Barry Sonnenfeld,Color,105,Delroy Lindo,English,USA,1995
Chicago,Rob Marshall, Black and White,113,Colm Feore,English,USA,2002
Big Daddy,Dennis Dugan,Color,93,Steve Buscemi,English,USA,1999
American Pie 2,J.B. Rogers,Color,108,Alyson Hannigan,English,USA,2001
Toy Story,John Lasseter,Color,74,Tom Hanks,English,USA,1995
Speed,Jan de Bont,Color,116,Keanu Reeves,English,USA,1994
The Vow,Michael Sucsy,Color,104,Channing Tatum,English,USA,2012
Extraordinary Measures,Tom Vaughan,Color,106,Harrison Ford,English,USA,2010
Remember the Titans,Boaz Yakin,Color,120,Ryan Gosling,English,USA,2000
The Hunt for Red October,John McTiernan,Color,135,Scott Glenn,English,USA,1990
Lee Daniels' The Butler,Lee Daniels,Color,132,Alex Pettyfer,English,USA,2013
Dodgeball: A True Underdog Story,Rawson Marshall Thurber, Black and White,92,Gary Cole,English,USA,2004
The Addams Family,Barry Sonnenfeld,Color,99,Anjelica Huston,English,USA,1991
Ace Ventura: When Nature Calls,Steve Oedekerk,Color,90,Bruce Spence,English,USA,1995
The Princess Diaries,Garry Marshall,Color,111,Anne Hathaway,English,USA,2001
The First Wives Club,Hugh Wilson,Color,103,Stockard Channing,English,USA,1996
Se7en,David Fincher,Color,127,Morgan Freeman,English,USA,1995
District 9,Neill Blomkamp,Color,112,Sharlto Copley,English,South Africa,2009
The SpongeBob SquarePants Movie,Stephen Hillenburg,Color,87,Scarlett Johansson,English,USA,2004
Mystic River,Clint Eastwood,Color,138,John Doman,English,USA,2003
Million Dollar Baby,Clint Eastwood,Color,132,Clint Eastwood,English,USA,2004
Analyze This,Harold Ramis,Color,103,Robert De Niro,English,USA,1999
The Notebook,Nick Cassavetes,Color,123,Ryan Gosling,English,USA,2004
27 Dresses,Anne Fletcher,Color,111,Judy Greer,English,USA,2008
Hannah Montana: The Movie,Peter Chelsom,Color,102,Emily Osment,English,USA,2009
Rugrats in Paris: The Movie,Stig Bergqvist,Color,78,Elizabeth Daily,English,Germany,2000
The Prince of Tides,Barbra Streisand,Color,132,George Carlin,English,USA,1991
Legends of the Fall,Edward Zwick,Color,133,Anthony Hopkins,English,USA,1994
Up in the Air,Jason Reitman,Color,108,J.K. Simmons,English,USA,2009
About Schmidt,Alexander Payne,Color,125,Hope Davis,English,USA,2002
Warm Bodies,Jonathan Levine,Color,98,Cory Hardrict,English,USA,2013
Looper,Rian Johnson,Color,119,Joseph Gordon-Levitt,English,USA,2012
Down to Earth,Chris Weitz,Color,87,Chazz Palminteri,English,USA,2001
Babe,Chris Noonan,Color,91,Miriam Margolyes,English,Australia,1995
Hope Springs,David Frankel,Color,100,Meryl Streep,English,USA,2012
Forgetting Sarah Marshall,Nicholas Stoller,Color,118,Mila Kunis,English,USA,2008
Friday Night Lights,,Color,44,Zach Gilford,English,USA,
Four Brothers,John Singleton,Color,109,Josh Charles,English,USA,2005
Baby Mama,Michael McCullers,Color,99,Tina Fey,English,USA,2008
Hope Floats,Forest Whitaker,Color,114,Bill Cobbs,English,USA,1998
Bride Wars,Gary Winick,Color,89,Anne Hathaway,English,USA,2009
Without a Paddle,Steven Brill,Color,95,Antony Starr,English,USA,2004
13 Going on 30,Gary Winick,Color,98,Jennifer Garner,English,USA,2004
Midnight in Paris,Woody Allen,Color,94,Kurt Fuller,English,Spain,2011
The Nut Job,Peter Lepeniotis,Color,85,Liam Neeson,English,Canada,2014
Blow,Ted Demme,Color,124,Johnny Depp,English,USA,2001
Message in a Bottle,Luis Mandoki,Color,131,Robin Wright,English,USA,1999
Star Trek V: The Final Frontier,William Shatner,Color,107,Leonard Nimoy,English,USA,1989
Like Mike,John Schultz,Color,99,Brenda Song,English,USA,2002
Naked Gun 33 1/3: The Final Insult,Peter Segal,Color,83,George Kennedy,English,USA,1994
A View to a Kill,John Glen,Color,131,Patrick Macnee,English,UK,1985
The Curse of the Were-Rabbit,Steve Box,Color,85,Mark Gatiss,English,UK,2005
P.S. I Love You,Richard LaGravenese,Color,126,Gerard Butler,English,USA,2007
Racing Stripes,Frederik Du Chau,Color,102,Bruce Greenwood,English,USA,2005
Atonement,Joe Wright,Color,123,Benedict Cumberbatch,English,UK,2007
Letters to Juliet,Gary Winick,Color,105,Vanessa Redgrave,English,USA,2010
Black Rain,Ridley Scott,Color,125,Stephen Root,English,USA,1989
The Three Stooges,Bobby Farrelly,Color,92,Kate Upton,English,USA,2012
Corpse Bride,Tim Burton,Color,77,Johnny Depp,English,USA,2005
Glory Road,James Gartner,Color,118,Mehcad Brooks,English,USA,2006
Sicario,Denis Villeneuve,Color,121,Edgar Arreola,English,USA,2015
Southpaw,Antoine Fuqua,Color,124,Jake Gyllenhaal,English,USA,2015
Drag Me to Hell,Sam Raimi,Color,99,Bojana Novakovic,English,USA,2009
The Age of Adaline,Lee Toland Krieger,Color,112,Harrison Ford,English,USA,2015
Secondhand Lions,Tim McCanlies,Color,111,Haley Joel Osment,English,USA,2003
Step Up 3D,Jon M. Chu,Color,107,Alyson Stoner,English,USA,2010
Blue Crush,John Stockwell,Color,104,Faizon Love,English,USA,2002
Stranger Than Fiction,Marc Forster,Color,113,Will Ferrell,English,USA,2006
30 Days of Night,David Slade,Color,113,Danny Huston,English,USA,2007
The Cabin in the Woods,Drew Goddard,Color,95,Chris Hemsworth,English,USA,2012
Meet the Spartans,Jason Friedberg,Color,86,Carmen Electra,English,USA,2008
Midnight Run,Martin Brest,Color,126,Robert De Niro,English,USA,1988
The Running Man,Paul Michael Glaser,Color,101,Yaphet Kotto,English,USA,1987
Little Shop of Horrors,Frank Oz,Color,102,Bill Murray,English,USA,1986
Hanna,Joe Wright,Color,111,Jessica Barden,English,USA,2011
The Family,,Color,60,Zach Gilford,English,USA,
Mortal Kombat: Annihilation,John R. Leonetti,Color,95,Brian Thompson,English,USA,1997
Larry Crowne,Tom Hanks,Color,98,Tom Hanks,English,USA,2011
Carrie,Kimberly Peirce,Color,100,Chloë Grace Moretz,English,USA,2013
Take the Lead,Liz Friedlander,Color,118,Alfre Woodard,English,USA,2006
Entourage,,Color,28,Debi Mazar,English,USA,
Gridiron Gang,Phil Joanou,Color,125,Dwayne Johnson,English,USA,2006
What's the Worst That Could Happen?,Sam Weisman,Color,94,Bernie Mac,English,USA,2001
9,Shane Acker,Color,79,Martin Landau,English,USA,2009
Side Effects,Steven Soderbergh,Color,106,Channing Tatum,English,USA,2013
The Prince and Me,Martha Coolidge,Color,111,Devin Ratray,English,USA,2004
Winnie the Pooh,Stephen J. Anderson,Color,63,Craig Ferguson,English,USA,2011
Dumb and Dumberer: When Harry Met Lloyd,Troy Miller,Color,85,Elden Henson,English,USA,2003
Bulworth,Warren Beatty,Color,108,Warren Beatty,English,USA,1998
Get on Up,Tate Taylor,Color,139,Tika Sumpter,English,USA,2014
One True Thing,Carl Franklin,Color,127,Meryl Streep,English,USA,1998
Virtuosity,Brett Leonard,Color,106,Denzel Washington,English,USA,1995
My Super Ex-Girlfriend,Ivan Reitman,Color,95,Rainn Wilson,English,USA,2006
Deliver Us from Evil,Scott Derrickson,Color,118,Olivia Munn,English,USA,2014
Sanctum,Alister Grierson,Color,108,Ioan Gruffudd,English,USA,2011
Little Black Book,Nick Hurran,Color,105,Holly Hunter,English,USA,2004
The Five-Year Engagement,Nicholas Stoller,Color,131,Alison Brie,English,USA,2012
Mr 3000,Charles Stone III,Color,104,Bernie Mac,English,USA,2004
The Next Three Days,Paul Haggis,Color,133,Olivia Wilde,English,USA,2010
Ultraviolet,Kurt Wimmer,Color,94,Milla Jovovich,English,USA,2006
Assault on Precinct 13,Jean-François Richet,Color,109,Brian Dennehy,English,USA,2005
The Replacement Killers,Antoine Fuqua,Color,96,Mira Sorvino,English,USA,1998
Fled,Kevin Hooks,Color,105,Salma Hayek,English,USA,1996
Eight Legged Freaks,Ellory Elkayem,Color,99,Scarlett Johansson,English,USA,2002
Love & Other Drugs,Edward Zwick,Color,112,Jake Gyllenhaal,English,USA,2010
88 Minutes,Jon Avnet,Color,108,Al Pacino,English,USA,2007
North Country,Niki Caro,Color,126,Jeremy Renner,English,USA,2005
The Whole Ten Yards,Howard Deutch,Color,98,Bruce Willis,English,USA,2004
Splice,Vincenzo Natali,Color,104,Sarah Polley,English,Canada,2009
Howard the Duck,Willard Huyck,Color,110,Lea Thompson,English,USA,1986
Pride and Glory,Gavin O'Connor,Color,130,Jennifer Ehle,English,USA,2008
The Cave,Bruce Hunt,Color,93,Eddie Cibrian,English,USA,2005
Alex & Emma,Rob Reiner,Color,96,David Paymer,English,USA,2003
Wicker Park,Paul McGuigan,Color,114,Jessica Paré,English,USA,2004
Fright Night,Craig Gillespie,Color,106,Grace Phipps,English,USA,2011
The New World,Terrence Malick,Color,150,Christian Bale,English,USA,2005
Wing Commander,Chris Roberts,Color,100,Saffron Burrows,English,USA,1999
In Dreams,Neil Jordan,Color,100,Robert Downey Jr.,English,USA,1999
Dragonball: Evolution,James Wong,Color,100,Ian Whyte,English,USA,2009
The Last Stand,Jee-woon Kim,Color,107,Zach Gilford,English,USA,2013
Godsend,Nick Hamm,Color,102,Robert De Niro,English,USA,2004
Chasing Liberty,Andy Cadiff,Color,101,Annabella Sciorra,English,USA,2004
Hoodwinked Too! Hood vs. Evil,Mike Disa,Color,86,Amy Poehler,English,USA,2011
An Unfinished Life,Lasse Hallström,Color,108,Morgan Freeman,English,USA,2005
The Imaginarium of Doctor Parnassus,Terry Gilliam,Color,123,Andrew Garfield,English,UK,2009
Barney's Version,Richard J. Lewis,Color,134,Mark Addy,English,Canada,2010
Trapped,,Color,511,Ólafur Darri Ólafsson,Icelandic,Iceland,
Runner Runner,Brad Furman,Color,88,Justin Timberlake,English,USA,2013
Antitrust,Peter Howitt,Color,109,Tyler Labine,English,USA,2001
Glory,Edward Zwick,Color,122,Denzel Washington,English,USA,1989
Once Upon a Time in America,Sergio Leone,Color,251,Robert De Niro,English,Italy,1984
Dead Man Down,Niels Arden Oplev,Color,118,Dominic Cooper,English,USA,2013
The Merchant of Venice,Michael Radford,Color,131,Al Pacino,English,USA,2004
The Good Thief,Neil Jordan,Color,109,Emir Kusturica,English,France,2002
Supercross,Steve Boyum,Color,80,Channing Tatum,English,USA,2005
Miss Potter,Chris Noonan,Color,88,Emily Watson,English,UK,2006
The Promise,Kaige Chen,Color,103,Dong-gun Jang,Mandarin,China,2005
DOA: Dead or Alive,Corey Yuen,Color,87,Steve Howey,English,USA,2006
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,Color,160,Brad Pitt,English,USA,2007
1911,Li Zhang,Color,121,Bingbing Li,Mandarin,China,2011
Little Nicholas,Laurent Tirard,Color,91,Louise Bourgoin,French,France,2009
Wild Card,Simon West,Color,92,Jason Statham,English,USA,2015
Machine Gun Preacher,Marc Forster,Color,129,Gerard Butler,English,USA,2011
Animals United,Reinhard Klooss,Color,93,Jim Broadbent,German,Germany,2010
The Color of Freedom,Bille August,Color,118,Terry Pheto,English,Germany,2007
United Passions,Frédéric Auburtin,Color,110,Fisher Stevens,English,France,2014
Grace of Monaco,Olivier Dahan,Color,103,Paz Vega,English,Switzerland,2014
A Warrior's Tail,Maksim Fadeev,Color,85,Konstantin Khabenskiy,Russian,Russia,2015
Ripley's Game,Liliana Cavani,Color,110,Ray Winstone,English,Italy,2002
Sausage Party,Greg Tiernan,Color,89,James Franco,English,USA,2016
Pitch Perfect 2,Elizabeth Banks,Color,115,Anna Kendrick,English,USA,2015
Walk the Line,James Mangold,Color,153,Sandra Ellis Lafferty,English,USA,2005
12 Monkeys,,Color,42,Amanda Schull,English,USA,
Keeping the Faith,Edward Norton,Color,128,Lisa Edelstein,English,USA,2000
The Borrowers,Peter Hewitt,Color,89,Jim Broadbent,English,UK,1997
Frost/Nixon,Ron Howard,Color,122,Toby Jones,English,USA,2008
Confessions of a Dangerous Mind,George Clooney,Color,113,Dick Clark,English,USA,2002
Serving Sara,Reginald Hudlin,Color,99,Matthew Perry,English,Germany,2002
The Boss,Ben Falcone,Color,99,Peter Dinklage,English,USA,2016
Cry Freedom,Richard Attenborough,Color,147,Denzel Washington,English,UK,1987
Mumford,Lawrence Kasdan, Black and White,112,Zooey Deschanel,English,USA,1999
Seed of Chucky,Don Mancini,Color,88,Jason Flemyng,English,Romania,2004
The Jacket,John Maybury,Color,94,Jennifer Jason Leigh,English,USA,2005
Aladdin,Ron Clements,Color,90,Robin Williams,English,USA,1992
Straight Outta Compton,F. Gary Gray,Color,167,Aldis Hodge,English,USA,2015
Indiana Jones and the Temple of Doom,Steven Spielberg,Color,118,Harrison Ford,English,USA,1984
The Rugrats Movie,Igor Kovalyov,Color,83,Elizabeth Daily,English,USA,1998
Along Came a Spider,Lee Tamahori,Color,104,Morgan Freeman,English,USA,2001
Florence Foster Jenkins,Stephen Frears,Color,110,Meryl Streep,English,UK,2016
Once Upon a Time in Mexico,Robert Rodriguez,Color,102,Johnny Depp,English,USA,2003
Die Hard,John McTiernan,Color,131,Alan Rickman,English,USA,1988
Role Models,David Wain,Color,101,Joe Lo Truglio,English,Germany,2008
The Big Short,Adam McKay,Color,130,Ryan Gosling,English,USA,2015
Taking Woodstock,Ang Lee,Color,120,Imelda Staunton,English,USA,2009
Miracle,Gavin O'Connor,Color,135,Eddie Cahill,English,USA,2004
Dawn of the Dead,Zack Snyder,Color,110,Ty Burrell,English,USA,2004
The Wedding Planner,Adam Shankman,Color,103,Matthew McConaughey,English,Germany,2001
Harlock: Space Pirate,Shinji Aramaki,Color,115,Shun Oguri,Japanese,Japan,2013
The Royal Tenenbaums,Wes Anderson,Color,110,Bill Murray,English,USA,2001
Identity,James Mangold,Color,91,Clea DuVall,English,USA,2003
Last Vegas,Jon Turteltaub,Color,105,Robert De Niro,English,USA,2013
For Your Eyes Only,John Glen,Color,127,Julian Glover,English,UK,1981
Serendipity,Peter Chelsom,Color,82,Lilli Lavine,English,USA,2001
Timecop,Peter Hyams,Color,99,Mia Sara,English,Canada,1994
Zoolander,Ben Stiller,Color,90,Milla Jovovich,English,Germany,2001
Safe Haven,Lasse Hallström,Color,115,David Lyons,English,USA,2013
Hocus Pocus,Kenny Ortega,Color,96,Vinessa Shaw,English,USA,1993
No Reservations,Scott Hicks,Color,104,Zoë Kravitz,English,USA,2007
Kick-Ass,Matthew Vaughn,Color,117,Elizabeth McGovern,English,UK,2010
30 Minutes or Less,Ruben Fleischer,Color,83,Bianca Kajlich,English,Germany,2011
Dracula 2000,Patrick Lussier,Color,99,Gerard Butler,English,USA,2000
Pride & Prejudice,Joe Wright,Color,135,Talulah Riley,English,France,2005
Blade Runner,Ridley Scott,Color,117,Harrison Ford,English,USA,1982
Rob Roy,Michael Caton-Jones,Color,139,Liam Neeson,English,USA,1995
3 Days to Kill,McG,Color,123,Connie Nielsen,English,USA,2014
We Own the Night,James Gray,Color,117,Robert Duvall,English,USA,2007
Lost Souls,Janusz Kaminski,Color,97,Philip Baker Hall,English,USA,2000
Winged Migration,Jacques Perrin,Color,81,Jacques Perrin,English,France,2001
Just My Luck,Donald Petrie,Color,103,Samaire Armstrong,English,USA,2006
The Spy Next Door,Brian Levant,Color,94,Madeline Carroll,English,USA,2010
A Simple Wish,Michael Ritchie,Color,89,Mara Wilson,English,USA,1997
Ghosts of Mars,John Carpenter,Color,98,Jason Statham,English,USA,2001
