year,category,winner,nominee,detail
1976,Outstanding Writing In A Comedy-Variety Or Music Special,0,Mitzi...Roarin' in the 20's,CBS
1976,Outstanding Writing In A Comedy-Variety Or Music Special,0,Van Dyke and Company,NBC
1976,Outstanding Individual Achievement In Any Area Of Creative Technical Crafts,1,Eleanor and Franklin ABC Theatre,ABC
1976,Outstanding Achievement In Cinematography For Entertainment Programming For A Series,1,Baretta,ABC
1976,Outstanding Achievement In Cinematography For Entertainment Programming For A Series,0,Kojak,CBS
1976,Outstanding Achievement In Cinematography For Entertainment Programming For A Series,0,Little House on the Prairie,NBC
1976,Outstanding Achievement In Cinematography For Entertainment Programming For A Series,0,M*A*S*H,CBS
1976,Outstanding Achievement In Cinematography For Entertainment Programming For A Series,0,"Rich Man, Poor Man",ABC
1976,Outstanding Achievement In Costume Design For Music-Variety,0,Cher,CBS
1976,Outstanding Achievement In Costume Design For Music-Variety,1,Mitzi...Roarin' in the 20's,CBS
1976,Outstanding Achievement In Costume Design For A Drama Or Comedy Series,1,Jennie:  Lady Randolph Churchill Great Performance,PBS
1976,Outstanding Achievement In Costume Design For A Drama Or Comedy Series,0,"Rich Man, Poor Man",ABC
1976,Outstanding Achievement In Costume Design For A Drama Or Comedy Series,0,The Adams Chronicles,PBS
1976,Outstanding Achievement In Costume Design For A Drama Special,1,Eleanor and Franklin ABC Theatre,ABC
1976,Outstanding Achievement In Costume Design For A Drama Special,0,The Lindbergh Kidnapping Case NBC World Premiere M,NBC
1976,Outstanding Achievement In Film Sound Editing,0,Eleanor and Franklin ABC Theatre,ABC
1976,Outstanding Achievement In Film Sound Editing,1,Medical Story,NBC
1976,Outstanding Achievement In Film Sound Editing,0,Police Woman,NBC
1976,Outstanding Achievement In Film Sound Editing,0,The Lindbergh Kidnapping Case NBC World Premiere M,NBC
1976,Outstanding Achievement In Film Sound Editing,1,The Night That Panicked America The ABC Friday Nig,ABC
1976,Outstanding Achievement In Film Sound Editing,0,The Six Million Dollar Man,ABC
1976,Outstanding Achievement In Film Sound Mixing,1,Eleanor and Franklin ABC Theatre,ABC
1976,Outstanding Achievement In Film Sound Mixing,0,Sandburg's Lincoln,NBC
1976,Outstanding Achievement In Graphic Design And Title,1,Addie and the King of Hearts,CBS
1976,Outstanding Achievement In Graphic Design And Title,0,Eleanor and Franklin ABC Theatre,ABC
1976,Outstanding Achievement In Graphic Design And Title,0,NBC's Saturday Night,NBC
1976,Outstanding Achievement In Graphic Design And Title,0,The Adams Chronicles,PBS
1976,Outstanding Achievement In Graphic Design And Title,0,"The New, Original Wonder Woman The ABC Friday Nigh",ABC
1976,Outstanding Achievement In Lighting Direction,1,Mitzi and A Hundred Guys,CBS
1976,Outstanding Achievement In Lighting Direction,1,Mitzi...Roarin' in the 20's,CBS
1976,Outstanding Achievement In Lighting Direction,0,The Adams Chronicles,PBS
1976,Outstanding Achievement In Tape Sound Mixing,0,Live From Lincoln Center,PBS
1976,Outstanding Achievement In Tape Sound Mixing,0,New Year's Eve at Pops,PBS
1976,Outstanding Achievement In Tape Sound Mixing,1,THE TONIGHT SHOW STARRING JOHNNY CARSON,NBC
1976,Outstanding Achievement In Make-Up,0,Babe,CBS
1976,Outstanding Achievement In Make-Up,1,Eleanor and Franklin ABC Theatre,ABC
1976,Outstanding Achievement In Make-Up,0,The 1975 Fashion Awards,ABC
1976,Outstanding Achievement In Music Direction,0,Gypsy In My Soul,CBS
1976,Outstanding Achievement In Video Tape Editing For A Series,0,Barney Miller,ABC
1976,Outstanding Achievement In Video Tape Editing For A Series,0,Sanford and Son,NBC
1976,Outstanding Achievement In Video Tape Editing For A Series,1,The Adams Chronicles,PBS
1976,Outstanding Achievement In Video Tape Editing For A Series,0,"Welcome Back, Kotter",ABC
1976,Outstanding Classical Music Program,0,Arthur Rubinstein-Chopin Great Performances,PBS
1976,Outstanding Classical Music Program,1,Bernstein and The New York Philharmonic Great Perf,PBS
1976,Outstanding Classical Music Program,0,Dance in America: City Center Joffrey Ballet,PBS
1976,Outstanding Classical Music Program,0,Live From Lincoln Center,PBS
1976,Outstanding Classical Music Program,0,Three by Balanchine with The New York City Ballet,PBS
1976,Outstanding Directing In A Comedy-Variety Or Music Series,1,NBC's Saturday Night,NBC
1976,Outstanding Directing In A Comedy-Variety Or Music Series,0,The Carol Burnett Show,CBS
1976,Outstanding Directing In A Comedy-Variety Or Music Series,0,The Sonny and Cher Show,CBS
1976,Outstanding Edited Sports Series,1,ABC's Wide World of Sports,ABC
1976,Outstanding Edited Sports Series,0,Baseball World of Joe Garagiola,NBC
1976,Outstanding Edited Sports Series,0,The Superstars,ABC
1976,Outstanding Edited Sports Series,0,The Way It Was,PBS
1976,Outstanding Edited Sports Special,1,Triumph and Tragedy...The Olympic Experience,ABC
1976,Outstanding Edited Sports Special,1,XII Winter Olympic Games,ABC
1976,Outstanding Achievement In Film Editing For Entertainment Programming For A Series,1,M*A*S*H,CBS
1976,Outstanding Achievement In Film Editing For Entertainment Programming For A Series,0,The Mary Tyler Moore Show,CBS
1976,Outstanding Achievement In Film Editing For Entertainment Programming For A Series,1,Medical Story,NBC
1976,Outstanding Achievement In Film Editing For Entertainment Programming For A Series,0,Medical Story,NBC
1976,Outstanding Achievement In Film Editing For Entertainment Programming For A Series,0,"Rich Man, Poor Man",ABC
1976,Outstanding Achievement In Film Editing For Entertainment Programming For A Series,0,"Rich Man, Poor Man",ABC
1976,Outstanding Lead Actor For A Single Appearance In A Drama Or Comedy Series,0,Robert Reed,Medical Center
1976,Outstanding Lead Actor For A Single Appearance In A Drama Or Comedy Series,0,Tony Musante,Medical Story
1976,Outstanding Lead Actor For A Single Appearance In A Drama Or Comedy Series,1,Edward Asner,Rich Man/Poor Man
1976,Outstanding Lead Actor For A Single Appearance In A Drama Or Comedy Series,0,Bill Bixby,The Streets of San Francisco
1976,Outstanding Lead Actress For A Single Appearance In A Drama Or Comedy Series,0,Helen Hayes,Hawaii Five-O
1976,Outstanding Lead Actress For A Single Appearance In A Drama Or Comedy Series,0,Sheree North,Marcus Welby/M.D.
1976,Outstanding Lead Actress For A Single Appearance In A Drama Or Comedy Series,0,Martha Raye,McMillan & Wife NBC Sunday Mystery Movie
1976,Outstanding Lead Actress For A Single Appearance In A Drama Or Comedy Series,1,Kathryn Walker,The Adams Chronicles
1976,Outstanding Lead Actress For A Single Appearance In A Drama Or Comedy Series,0,Pamela Payton-Wright,The Adams Chronicles
1976,Outstanding Live Sports Series,0,ABC's Golf,ABC
1976,Outstanding Live Sports Series,0,NCAA College Football,ABC
1976,Outstanding Live Sports Series,0,NFL Football on CBS,CBS
1976,Outstanding Live Sports Series,1,NFL Monday Night Football,ABC
1976,Outstanding Live Sports Special,0,1975 Masters Golf Tournament,CBS
1976,Outstanding Live Sports Special,1,1975 World Series,NBC
1976,Outstanding Live Sports Special,0,NCAA Basketball Championship,NBC
1976,Outstanding Live Sports Special,0,Rose Bowl,NBC
1976,Outstanding Live Sports Special,0,The Super Bowl Today and Super Bowl X,CBS
1976,Outstanding Single Performance By A Supporting Actor In Comedy Or Drama Series,0,Roscoe Lee Browne,Barney Miller
1976,Outstanding Single Performance By A Supporting Actor In Comedy Or Drama Series,0,Norman Fell,Rich Man/Poor Man
1976,Outstanding Single Performance By A Supporting Actor In Comedy Or Drama Series,0,Van Johnson,Rich Man/Poor Man
1976,Outstanding Single Performance By A Supporting Actor In Comedy Or Drama Series,0,Bill Bixby,Rich Man/Poor Man
1976,Outstanding Single Performance By A Supporting Actor In Comedy Or Drama Series,1,Gordon Jackson,Upstairs/Downstairs Masterpiece Theatre
1976,Outstanding Single Performance By A Supporting Actor In Comedy Or Drama Special,0,Ray Bolger,The Entertainer
1976,Outstanding Single Performance By A Supporting Actress In Comedy Or Drama Series,0,EILEEN HECKART,The Mary Tyler Moore Show
1976,,0,Ruth Gordon,Rhoda
1976,,0,Kay Lenz,Rich Man/Poor Man
1976,,1,Fionnula Flanagan,Rich Man/Poor Man
1976,,0,Kim Darby,Rich Man/Poor Man
1976,Outstanding Single Performance By A Supporting Actress In Comedy Or Drama Special,0,Lilia Skala,Eleanor and Franklin ABC Theatre
1976,Outstanding Single Performance By A Supporting Actress In Comedy Or Drama Special,1,Rosemary Murphy,Eleanor and Franklin ABC Theatre
1976,Outstanding Single Performance By A Supporting Actress In Comedy Or Drama Special,0,Irene Tedrow,Eleanor and Franklin ABC Theatre
1976,Outstanding Single Performance By A Supporting Actress In Comedy Or Drama Special,0,Lois Nettleton,Fear On Trial
1976,Outstanding Sports Personality,0,Joe Garagiola,1975 World Series
1976,Outstanding Sports Personality,1,Jim McKay,ABC's Wide World of Sports
1976,Outstanding Sports Personality,0,Heywood Hale Broun,CBS Sports Programs
1976,Outstanding Sports Personality,0,Vin Scully,Masters Golf
1976,Outstanding Sports Personality,0,Frank Gifford,NFL Monday Night Football
1976,Outstanding Writing In A Special Program,0,Farewell to Manzanar NBC World Premiere Movie,NBC
1976,Outstanding Writing In A Special Program,1,Fear On Trial,CBS
1976,Outstanding Writing In A Special Program,0,The Entertainer,NBC
1976,Outstanding Writing In A Special Program,0,Babe,CBS
1976,Outstanding Writing In A Special Program,1,Eleanor and Franklin ABC Theatre,ABC
1976,Outstanding Writing In A Special Program,0,I Will Fight No More Forever ABC Theatre,ABC
1976,Outstanding Writing In A Special Program,0,The Lindbergh Kidnapping Case NBC World Premiere M,NBC
1976,Outstanding Writing In A Special Program,0,The Night That Panicked America The ABC Friday Nig,ABC
1977,Outstanding Lead Actor In A Drama Or Comedy Special,0,George C. Scott,Beauty and The Beast Hallmark Hall of Fame
1977,Outstanding Lead Actor In A Drama Or Comedy Special,0,Richard Jordan,Captains and The Kings NBC's Best Seller
1977,Outstanding Lead Actor In A Drama Or Comedy Special,0,Edward Herrmann,Eleanor and Franklin:  The White House Years ABC T
1977,Outstanding Lead Actor In A Drama Or Comedy Special,1,Ed Flanders,Harry S. Truman:  Plain Speaking
1977,Outstanding Lead Actor In A Drama Or Comedy Special,0,Stanley Baker,How Green Was My Valley Masterpiece Theatre
1977,Outstanding Lead Actor In A Drama Or Comedy Special,0,Peter Finch,Rain on Entebbe The Big Event
1977,Outstanding Lead Actor In A Drama Or Comedy Special,0,Steven Keats,Seventh Avenue NBC's Best Seller
1977,Outstanding Lead Actor In A Drama Or Comedy Special,0,Peter Boyle,Tail Gunner Joe NBC World Premiere Movie The Big E
1977,Outstanding Lead Actor In A Drama Or Comedy Special,1,Christopher Plummer,The Moneychangers NBC World Premiere The Big Event
1977,Outstanding Lead Actress In A Drama Or Comedy Special,0,Susan Clark,Amelia Earhart NBC Monday Night At The Movies
1977,Outstanding Lead Actress In A Drama Or Comedy Special,0,Jane Seymour,Captains and The Kings NBC's Best Seller
1977,Outstanding Lead Actress In A Drama Or Comedy Special,1,Patty Duke Astin,Captains and The Kings NBC's Best Seller
1977,Outstanding Lead Actress In A Drama Or Comedy Special,0,Jane Alexander,Eleanor and Franklin:  The White House Years ABC T
1977,Outstanding Lead Actress In A Drama Or Comedy Special,0,Eva Marie Saint,How The West Was Won
1977,Outstanding Lead Actress In A Drama Or Comedy Special,0,Dori Brenner,Seventh Avenue NBC's Best Seller
1977,Outstanding Lead Actress In A Drama Or Comedy Special,0,JOANNE WOODWARD,Sybil The Big Event
1977,Outstanding Lead Actress In A Drama Or Comedy Special,1,Sally Field,Sybil The Big Event
1977,Outstanding Lead Actress In A Drama Or Comedy Special,0,Julie Harris,The Last of Mrs. Lincoln Hollywood Television Thea
1977,Outstanding Lead Actress In A Drama Or Comedy Special,0,Susan Flannery,The Moneychangers NBC World Premiere Movie The Big
1977,Outstanding Lead Actor In A Comedy Series,1,Carroll O'Connor,All In the Family
1977,Outstanding Lead Actor In A Comedy Series,0,Hal Linden,Barney Miller
1977,Outstanding Lead Actor In A Comedy Series,0,Jack Albertson,Chico and The Man
1977,Outstanding Lead Actor In A Comedy Series,0,Henry Winkler,Happy Days
1977,Outstanding Lead Actor In A Comedy Series,0,Alan Alda,M*A*S*H
1977,Outstanding Lead Actor In A Drama Series,0,ROBERT BLAKE,Baretta
1977,Outstanding Lead Actor In A Drama Series,0,PETER FALK,Columbo
1977,Outstanding Lead Actor In A Drama Series,0,Jack Klugman,Quincy/M.E.
1977,Outstanding Lead Actor In A Drama Series,1,James Garner,The Rockford Files
1977,Outstanding Lead Actor In A Drama Series,0,Karl Malden,The Streets of San Francisco
1977,Outstanding Lead Actress In A Comedy Series,0,Jean Stapleton,All In the Family
1977,Outstanding Lead Actress In A Comedy Series,1,Beatrice Arthur,Maude
1977,Outstanding Lead Actress In A Comedy Series,0,Valerie Harper,Rhoda
1977,Outstanding Lead Actress In A Comedy Series,0,SUZANNE PLESHETTE,The Bob Newhart Show
1977,Outstanding Lead Actress In A Comedy Series,0,MARY TYLER MOORE,The Mary Tyler Moore Show
1977,Outstanding Lead Actress In A Drama Series,0,Kate Jackson,Charlie's Angels
1977,Outstanding Lead Actress In A Drama Series,0,Sada Thompson,Family
1977,Outstanding Lead Actress In A Drama Series,0,Angie Dickinson,Police Woman
1977,Outstanding Lead Actress In A Drama Series,1,Lindsay Wagner,The Bionic Woman
1977,Outstanding Lead Actress In A Drama Series,0,Michael Learned,The Waltons
1977,Outstanding Art Direction Or Scenic Design For A Dramatic Special,0,Amelia Earhart NBC Monday Night At The Movies,NBC
1977,Outstanding Art Direction Or Scenic Design For A Dramatic Special,0,Eccentricities of a Nightingale Theater in America,PBS
1977,Outstanding Art Direction Or Scenic Design For A Dramatic Special,1,Eleanor and Franklin:  The White House Years ABC T,ABC
1977,Outstanding Art Direction Or Scenic Design For A Dramatic Special,0,The Last of Mrs. Lincoln Hollywood Television Thea,PBS
1977,Outstanding Art Direction Or Scenic Design For A Comedy-Variety Or Music Series,1,The Mac Davis Show,NBC
1977,Outstanding Children'S Special,1,Ballet Shoes Piccadilly Circus,PBS
1977,Outstanding Children'S Special,0,"It's Arbor Day, Charlie Brown",CBS
1977,Outstanding Children'S Special,0,Peter Pan Hallmark Hall of Fame The Big Event,NBC
1977,Outstanding Children'S Special,0,Pinocchio,CBS
1977,Outstanding Children'S Special,0,The Little Drummer Boy Book II,NBC
1977,Outstanding Achievement In Choreography,1,America Salutes Richard Rodgers:  The Sound of His,CBS
1977,Outstanding Achievement In Choreography,0,Minstrel Man,CBS
1977,Outstanding Achievement In Choreography,0,Swan Lake Live From Lincoln Center Great Performan,PBS
1977,Outstanding Achievement In Choreography,0,The Carol Burnett Show,CBS
1977,Outstanding Achievement In Choreography,0,The Shirley MacLaine Special: Where Do We Go From,CBS
1977,Outstanding Cinematography In Entertainment Programming For A Special,0,Eleanor and Franklin:  The White House Years ABC T,ABC
1977,Outstanding Cinematography In Entertainment Programming For A Special,1,Raid on Entebbe The Big Event,NBC
1977,Outstanding Cinematography In Entertainment Programming For A Special,0,Sybil The Big Event,NBC
1977,Outstanding Cinematography In Entertainment Programming For A Special,0,Tail Gunner Joe The Big Event,NBC
1977,Outstanding Cinematography In Entertainment Programming For A Special,0,The Loneliest Runner,NBC
1977,Outstanding Comedy Series,0,All In the Family,CBS
1977,Outstanding Comedy Series,0,Barney Miller,ABC
1977,Outstanding Comedy Series,0,M*A*S*H,CBS
1977,Outstanding Comedy Series,0,The Bob Newhart Show,CBS
1977,Outstanding Comedy Series,1,The Mary Tyler Moore Show,CBS
1977,Outstanding Writing In A Comedy Series,0,Barney Miller,ABC
1977,Outstanding Writing In A Comedy Series,0,M*A*S*H,CBS
1977,Outstanding Writing In A Comedy Series,0,The Mary Tyler Moore Show,CBS
1977,Outstanding Writing In A Comedy Series,1,The Mary Tyler Moore Show,CBS
1977,Outstanding Writing In A Comedy Series,0,The Mary Tyler Moore Show,CBS
1977,Outstanding Writing In A Comedy-Variety Or Music Series,1,NBC's Saturday Night,NBC
1977,Outstanding Writing In A Comedy-Variety Or Music Series,0,Saturday Night Live,NBC
1977,Outstanding Writing In A Comedy-Variety Or Music Series,0,The Carol Burnett Show,CBS
1977,Outstanding Writing In A Comedy-Variety Or Music Series,0,The Muppet Show,SYN
1977,Outstanding Writing In A Comedy-Variety Or Music Series,0,Van Dyke & Company,NBC
1977,Outstanding Directing In A Comedy Series,0,All In the Family,CBS
1977,Outstanding Directing In A Comedy Series,0,M*A*S*H,CBS
1977,Outstanding Directing In A Comedy Series,0,M*A*S*H,CBS
1977,Outstanding Directing In A Comedy Series,1,M*A*S*H,CBS
1977,Outstanding Directing In A Comedy Series,0,The Mary Tyler Moore Show,CBS
1977,Outstanding Directing In A Drama Series,0,Roots,ABC
1977,Outstanding Directing In A Drama Series,1,Roots,ABC
1977,Outstanding Directing In A Drama Series,0,Roots,ABC
1977,Outstanding Directing In A Drama Series,0,Roots,ABC
1977,Outstanding Directing In A Drama Series,0,The Adams Chronicles,PBS
1977,Outstanding Directing In A Special Program,1,Eleanor and Franklin:  The White House Years ABC T,ABC
1977,Outstanding Directing In A Special Program,0,Helter Skelter,CBS
1977,Outstanding Directing In A Special Program,0,Judge Horton and The Scottsboro Boys NBC World Pre,NBC
1977,Outstanding Directing In A Special Program,0,Raid on Entebbe The Big Event,NBC
1977,Outstanding Directing In A Special Program,0,Tail Gunner Joe The Big Event,NBC
1977,Outstanding Directing In A Comedy,0,The Shirley MacLaine Special: Where Do We Go From,CBS
1977,Outstanding Drama Series,0,Baretta,ABC
1977,Outstanding Drama Series,0,Columbo NBC Sunday Mystery Movie,NBC
1977,Outstanding Drama Series,0,Family,ABC
1977,Outstanding Drama Series,0,Police Story,NBC
1977,Outstanding Drama Series,1,"Upstairs, Downstairs Masterpiece Theatre",PBS
1977,Outstanding Achievement In Video Tape Editing For A Special,1,American Bandstand's 25th Anniversary,ABC
1977,Outstanding Achievement In Video Tape Editing For A Special,1,Eleanor and Franklin:  The White House Years ABC T,ABC
1977,Outstanding Achievement In Video Tape Editing For A Special,0,Helter Skelter,CBS
1977,Outstanding Achievement In Video Tape Editing For A Special,0,Hours at Munich The ABC Sunday Night Movie,ABC
1977,Outstanding Achievement In Video Tape Editing For A Special,0,Raid on Entebbe The Big Event,NBC
1977,Outstanding Achievement In Video Tape Editing For A Special,0,The Barry Manilow Special,ABC
1977,Outstanding Achievement In Video Tape Editing For A Special,0,The Captain and Tennille Special,ABC
1977,Outstanding Achievement In Video Tape Editing For A Special,0,The Dorothy Hamill Special,ABC
1977,Outstanding Achievement In Video Tape Editing For A Special,0,The Loneliest Runner,NBC
1977,Outstanding Achievement In Video Tape Editing For A Special,0,The Neil Diamond Special,NBC
1977,Outstanding Achievement In Video Tape Editing For A Special,0,Victory at Entebbe,ABC
1977,Outstanding Achievement In Technical Direction And Electronic Camerawork,0,A Special Olivia Newton-John,ABC
1977,Outstanding Achievement In Technical Direction And Electronic Camerawork,1,Doug Henning's World of Magic,NBC
1977,Outstanding Achievement In Technical Direction And Electronic Camerawork,0,Harry S. Truman: Plain Speaking,PBS
1977,Outstanding Achievement In Technical Direction And Electronic Camerawork,0,The Neil Diamond Special,NBC
1977,Outstanding Achievement In Technical Direction And Electronic Camerawork,0,Victory at Entebbe,ABC
1977,Outstanding Achievement In Music Composition For A Special (Dramatic Underscore),0,Eleanor and Franklin:  The White House Years ABC T,ABC
1977,Outstanding Achievement In Music Composition For A Special (Dramatic Underscore),0,Helter Skelter,CBS
1977,Outstanding Achievement In Music Composition For A Special (Dramatic Underscore),0,Minstrel Man,CBS
1977,Outstanding Achievement In Music Composition For A Special (Dramatic Underscore),0,Rain on Entebbe The Big Event,NBC
1977,Outstanding Achievement In Music Composition For A Special (Dramatic Underscore),1,Sybil The Big Event,NBC
1977,Outstanding Achievement In Music Composition For A Series (Dramatic Underscore),0,Bronk,CBS
1977,Outstanding Achievement In Music Composition For A Series (Dramatic Underscore),0,Captains and The Kings NBC's Best Seller,NBC
1977,Outstanding Achievement In Music Composition For A Series (Dramatic Underscore),0,Police Story,NBC
1977,Outstanding Achievement In Music Composition For A Series (Dramatic Underscore),0,Roots,ABC
1977,Outstanding Achievement In Music Composition For A Series (Dramatic Underscore),1,Roots,ABC
1977,Outstanding Achievement In Special Musical Material,0,America Salutes Richard Rodgers:  The Sound of His,CBS
1977,Outstanding Achievement In Special Musical Material,0,An Evening with Diana Ross The Big Event,NBC
1977,Outstanding Achievement In Special Musical Material,0,How The West Was Won,ABC
1977,Outstanding Achievement In Special Musical Material,0,Minstrel Man,CBS
1977,Outstanding Achievement In Special Musical Material,0,Police Woman,NBC
1977,Outstanding Comedy-Variety Or Music Series,0,Evening at Pops,PBS
1977,Outstanding Comedy-Variety Or Music Series,0,NBC's Saturday Night,NBC
1977,Outstanding Comedy-Variety Or Music Series,0,The Carol Burnett Show,CBS
1977,Outstanding Comedy-Variety Or Music Series,0,The Muppet Show,SYN
1977,Outstanding Comedy-Variety Or Music Series,1,Van Dyke and Company,NBC
1977,Outstanding Limited Series,0,The Adams Chronicles,PBS
1977,Outstanding Limited Series,0,The Moneychangers NBC World Premiere Movie The Big,NBC
1977,Outstanding Special,0,Doug Henning's World of Magic,NBC
1977,Outstanding Special,0,Sills and Burnett at the Met,CBS
1977,Outstanding Special,1,The Barry Manilow Special,ABC
1977,Outstanding Special,0,The Neil Diamond Special,NBC
1977,Outstanding Special,0,The Shirley MacLaine Special: Where Do We Go From,CBS
1977,Outstanding Continuing Performance By A Supporting Actor In A Comedy Series,0,Abe Vigoda,Barney Miller
1977,Outstanding Continuing Performance By A Supporting Actor In A Comedy Series,1,Gary Burghoff,M*A*S*H
1977,Outstanding Continuing Performance By A Supporting Actor In A Comedy Series,0,Harry Morgan,M*A*S*H
1977,Outstanding Continuing Performance By A Supporting Actor In A Comedy Series,0,Ted Knight,The Mary Tyler Moore Show
1977,Outstanding Continuing Performance By A Supporting Actor In A Comedy Series,0,Edward Asner,The Mary Tyler Moore Show
1977,Outstanding Continuing Performance By A Supporting Actor In A Drama Series,0,Tom Ewell,Baretta
1977,Outstanding Continuing Performance By A Supporting Actor In A Drama Series,0,David Doyle,Charlie's Angels
1977,Outstanding Continuing Performance By A Supporting Actor In A Drama Series,1,Gary Frank,Family
1977,Outstanding Continuing Performance By A Supporting Actor In A Drama Series,0,Noah Beery,The Rockford Files
1977,Outstanding Continuing Performance By A Supporting Actor In A Drama Series,0,Will Geer,The Waltons
1977,Outstanding Continuing Or Single Performance By A Supporting Actor In Variety Or Music,0,John Belushi,NBC's Saturday Night
1977,Outstanding Continuing Or Single Performance By A Supporting Actor In Variety Or Music,0,Chevy Chase,Saturday Night Live
1977,Outstanding Continuing Or Single Performance By A Supporting Actor In Variety Or Music,0,BEN VEREEN,The Bell Telephone Jubilee
1977,Outstanding Continuing Or Single Performance By A Supporting Actor In Variety Or Music,0,Harvey Korman,The Carol Burnett Show
1977,Outstanding Continuing Or Single Performance By A Supporting Actor In Variety Or Music,1,Tim Conway,The Carol Burnett Show
1977,Outstanding Continuing Performance By A Supporting Actress In A Comedy Series,0,Loretta Swit,M*A*S*H
1977,Outstanding Continuing Performance By A Supporting Actress In A Comedy Series,1,Mary Kay Place,Mary Hartman/Mary Hartman
1977,Outstanding Continuing Performance By A Supporting Actress In A Comedy Series,0,JULIE KAVNER,Rhoda
1977,Outstanding Continuing Performance By A Supporting Actress In A Comedy Series,0,Betty White,The Mary Tyler Moore Show
1977,Outstanding Continuing Performance By A Supporting Actress In A Comedy Series,0,Georgia Engel,The Mary Tyler Moore Show
1977,Outstanding Continuing Performance By A Supporting Actress In A Drama Series,0,Lee Meriwether,Barnaby Jones
1977,Outstanding Continuing Performance By A Supporting Actress In A Drama Series,0,Meredith Baxter Birney,Family
1977,Outstanding Continuing Performance By A Supporting Actress In A Drama Series,1,Kristy McNichol,Family
1977,Outstanding Continuing Performance By A Supporting Actress In A Drama Series,0,Ellen Corby,The Waltons
1977,Outstanding Continuing Performance By A Supporting Actress In A Drama Series,0,Jacqueline Tong,Upstairs/Downstairs Masterpiece Theatre
1977,Outstanding Continuing Or Single Performance By A Supporting Actress In Variety Or Music,0,Gilda Radner,NBC's Saturday Night
1977,Outstanding Continuing Or Single Performance By A Supporting Actress In Variety Or Music,0,Vicki Lawrence,The Carol Burnett Show
1977,Outstanding Continuing Or Single Performance By A Supporting Actress In Variety Or Music,1,Rita Moreno,The Muppet Show
1977,Outstanding Achievement In Film Sound Editing For A Series,0,Charlie's Angels,ABC
1977,Outstanding Achievement In Film Sound Editing For A Series,0,Fantastic Journey,NBC
1977,Outstanding Achievement In Film Sound Editing For A Series,1,Roots,ABC
1977,Outstanding Achievement In Film Sound Editing For A Series,0,The Six Million Dollar Man,ABC
1977,Outstanding Writing In A Drama Series,0,Roots,ABC
1977,Outstanding Writing In A Drama Series,1,Roots,ABC
1977,Outstanding Writing In A Drama Series,0,Roots,ABC
1977,Outstanding Writing In A Drama Series,0,The Adams Chronicles,PBS
1977,Outstanding Writing In A Drama Series,0,The Adams Chronicles,PBS
1977,Outstanding Writing In A Comedy-Variety Or Music Special,1,America Salutes Richard Rodgers:  The Sound of His,CBS
1977,Outstanding Writing In A Comedy-Variety Or Music Special,0,An Evening with Diana Ross The Big Event,NBC
1977,Outstanding Writing In A Comedy-Variety Or Music Special,0,John Denver and Friend,ABC
1977,Outstanding Writing In A Comedy-Variety Or Music Special,0,Sills and Burnett at the Met,CBS
1977,Outstanding Writing In A Comedy-Variety Or Music Special,0,The Barry Manilow Special,ABC
1977,Outstanding Individual Achievement In Any Area Of Creative Technical Crafts,0,Little House on the Prairie,NBC
1977,Outstanding Individual Achievement In Any Area Of Creative Technical Crafts,0,The 28th Annual Emmy Awards,ABC
1977,Outstanding Individual Achievement In Any Area Of Creative Technical Crafts,0,The Great Houdinis The ABC Friday Night Movie,ABC
1977,Outstanding Individual Achievement In Any Area Of Creative Technical Crafts,0,Victory at Entebbe,ABC
1977,Outstanding Individual Achievement In Children'S Programming,0,"CBS Festival of Lively Arts for Young People, New",CBS
1977,Outstanding Individual Achievement In Children'S Programming,1,Peter Pan Hallmark Hall of Fame The Big Event,NBC
1977,Outstanding Individual Achievement In Children'S Programming,0,Pinocchio,CBS
1977,Outstanding Individual Achievement In Children'S Programming,1,Pinocchio,CBS
1977,Outstanding Individual Achievement In Children'S Programming,1,Pinocchio,CBS
1977,Outstanding Cinematography In Entertainment Programming For A Series,0,Baretta,ABC
1977,Outstanding Cinematography In Entertainment Programming For A Series,1,Captains and The Kings NBC's Best Seller,NBC
1977,Outstanding Cinematography In Entertainment Programming For A Series,0,Kojak,CBS
1977,Outstanding Cinematography In Entertainment Programming For A Series,0,M*A*S*H,CBS
1977,Outstanding Cinematography In Entertainment Programming For A Series,0,Once An Eagle NBC's Best Seller,NBC
1977,Outstanding Cinematography In Entertainment Programming For A Series,0,Roots,ABC
1977,Outstanding Cinematography In Entertainment Programming For A Series,0,Roots,ABC
1977,Outstanding Cinematography In Entertainment Programming For A Series,0,The Moneychangers NBC World Premiere Movie The Big,NBC
1977,Outstanding Achievement In Costume Design For Music,0,America Salutes Richard Rodgers:  The Sound of His,CBS
1977,Outstanding Achievement In Costume Design For Music,0,An Evening with Diana Ross The Big Event,NBC
1977,Outstanding Achievement In Costume Design For Music,0,Neil Sedaka Steppin' Out,NBC
1977,Outstanding Achievement In Costume Design For Music,1,The Barber of Seville Live From Lincoln Center Gre,PBS
1977,Outstanding Achievement In Costume Design For Music,0,The Sonny & Cher Show,CBS
1977,Outstanding Achievement In Costume Design For A Drama Or Comedy Series,0,Madame Bovary Masterpiece Theatre,PBS
1977,Outstanding Achievement In Costume Design For A Drama Or Comedy Series,0,Roots,ABC
1977,Outstanding Achievement In Costume Design For A Drama Or Comedy Series,0,The Adams Chronicles,PBS
1977,Outstanding Achievement In Costume Design For A Drama Or Comedy Series,1,The Pallisers,PBS
