LotFrontage,PoolQC,TotalBsmtSF,GrLivArea,LotArea,SaleCondition,GarageType,SalePrice
57.0,,729,1446,21872,Normal,Attchd,175000
,,1374,1557,3196,Normal,Attchd,234000
,,1392,1392,11341,Normal,Detchd,121500
77.0,,1389,1389,10010,Normal,Attchd,170000
63.0,,996,996,13907,Normal,,108000
66.0,,1163,1674,21780,Normal,Detchd,185000
,,1095,2295,13346,Normal,Attchd,268000
66.0,,806,1647,6858,Normal,Detchd,128000
77.0,,1122,2504,11198,Normal,BuiltIn,325000
70.0,,1517,1535,10171,Normal,Attchd,214000
79.0,,1496,2132,12327,Normal,BuiltIn,316600
,,943,943,7032,Normal,Detchd,135960
74.0,,1728,1728,13101,Normal,Detchd,142600
60.0,,864,864,7332,Abnorml,Attchd,120000
83.0,,846,1692,13159,Partial,Attchd,224500
76.0,,384,1430,9967,Normal,BuiltIn,170000
70.0,,372,1109,10500,Normal,BuiltIn,139000
80.0,,832,1216,8480,Abnorml,Detchd,118500
52.0,,861,1477,6292,Normal,Detchd,145000
96.0,,1164,1320,11777,Abnorml,Attchd,164500
34.0,,689,1392,3604,Abnorml,Detchd,146000
81.0,,1050,1795,12150,Normal,Attchd,131500
,,1144,1429,14585,Normal,Attchd,181900
98.0,,2042,2042,12704,Partial,Attchd,253293
81.0,,816,816,11841,Normal,,118500
75.0,,1237,2775,13500,Normal,Detchd,325000
51.0,,884,1573,6120,Normal,Detchd,133000
88.0,,1868,2028,11443,Partial,Attchd,369900
55.0,,816,838,10267,Normal,Detchd,130000
74.0,,840,860,8740,Normal,Detchd,137000
65.0,,1437,1473,25095,Partial,Attchd,143000
50.0,,742,935,9100,Normal,Detchd,79500
64.0,,770,1582,8320,Normal,Attchd,185900
97.0,,1722,2296,13478,Normal,BuiltIn,451950
60.0,,816,816,6600,Normal,Detchd,138000
,,848,848,4435,Normal,Attchd,140000
88.0,,924,924,7990,Normal,Detchd,110000
69.0,,1814,1826,11302,Partial,Attchd,319000
60.0,,684,1368,3600,Normal,Detchd,114504
53.0,,1258,1402,3922,Partial,Attchd,194201
80.0,,1430,1647,12984,Normal,Attchd,217500
24.0,,716,1556,1950,Normal,Attchd,151000
74.0,,1058,1904,10927,Normal,BuiltIn,275000
50.0,,780,1375,9000,Normal,Detchd,141000
80.0,,908,1915,10041,Abnorml,Attchd,220000
30.0,,600,1200,3182,Normal,Detchd,151000
88.0,,1494,1494,12803,Normal,Attchd,221000
85.0,,768,1986,13600,Normal,Attchd,205000
82.0,,1040,1040,12464,Normal,Detchd,152000
78.0,,896,2008,7800,Normal,Attchd,225000
78.0,,965,3194,12168,Alloca,Basment,359100
61.0,,1029,1029,7943,Normal,Attchd,118500
,,1440,2153,11050,Normal,Attchd,313000
,,1032,1032,10395,Normal,Attchd,148000
,,1299,1872,11885,Normal,BuiltIn,261500
70.0,,1120,1120,8402,Partial,,147000
21.0,,630,630,1491,Normal,,75500
80.0,,936,1054,8800,Abnorml,Attchd,137500
,,783,1509,7861,Normal,Attchd,183200
59.0,,832,832,7227,Normal,Detchd,105500
90.0,,1822,1828,11694,Partial,Attchd,314813
85.0,,1482,2262,12244,Normal,Attchd,305000
45.0,,864,864,8248,Normal,,67000
90.0,,1522,2614,10800,Normal,Attchd,240000
71.0,,980,980,7064,Normal,Detchd,135000
,,756,1512,2117,Normal,Detchd,168500
80.0,,732,1790,10400,Normal,Attchd,165150
87.0,,1116,1116,10000,Normal,Attchd,160000
,,978,1422,12342,Normal,Attchd,139900
80.0,,1156,1520,9600,Normal,Basment,153000
70.0,,1040,2080,11606,Family,Attchd,135000
82.0,,1248,1350,9020,Normal,Attchd,168500
50.0,,636,1750,9000,Abnorml,Detchd,124000
34.0,,1554,1554,4590,Normal,Attchd,209500
85.0,,1386,1411,11900,Family,Attchd,82500
80.0,,1056,1056,9250,Normal,Attchd,139400
64.0,,1056,1056,6979,Normal,Detchd,144000
60.0,,1440,3395,10896,Abnorml,,200000
51.0,,264,800,6120,Normal,,60000
50.0,,811,1387,6000,Normal,BuiltIn,93000
67.0,,796,796,8777,Normal,,85000
53.0,,1520,1567,3982,Partial,Attchd,264561
62.0,,1518,1518,12677,Normal,Attchd,274000
,,1057,1929,7050,Normal,Attchd,226000
75.0,,1952,2704,13860,Normal,Attchd,345000
80.0,,780,1620,10793,Normal,Attchd,152000
85.0,,1766,1766,9187,Partial,Attchd,370878
,,981,981,10530,Normal,Detchd,143250
60.0,,0,1048,7200,Normal,Detchd,98300
85.0,,1094,1094,10452,Normal,Attchd,155000
70.0,,756,1839,7700,Normal,Attchd,155000
21.0,,630,630,1936,Normal,,84500
65.0,,813,1665,8125,Normal,Attchd,205950
60.0,,755,1510,9084,Normal,Detchd,108000
70.0,,880,1716,8750,Normal,Attchd,191000
60.0,,756,1469,10320,Normal,Detchd,135000
91.0,,2109,2113,10437,Normal,Attchd,350000
21.0,,525,1092,1680,Family,Detchd,88000
72.0,,1053,1053,10007,Normal,Attchd,145500
60.0,,776,1502,7200,Normal,Attchd,149000
78.0,,912,1458,17503,Abnorml,Attchd,97500
75.0,,1486,1486,9937,Normal,Detchd,167000
,,793,1935,12384,Normal,Attchd,197900
52.0,,1629,2448,46589,Normal,Attchd,402000
120.0,,1392,1392,13560,Normal,Attchd,110000
90.0,,1138,1181,10012,Normal,Detchd,137500
49.0,,2077,2097,20896,Partial,Attchd,423000
106.0,,1406,1936,11194,Normal,Attchd,230500
,,1021,2380,18450,Abnorml,CarPort,129000
65.0,,1408,1679,8125,Normal,Attchd,193500
,,1188,1437,14175,Normal,Detchd,168000
80.0,,700,1180,11600,Normal,Detchd,137500
64.0,,738,1476,8633,Normal,Attchd,173500
54.0,,672,1369,6629,Normal,Detchd,103600
,,1208,1208,11250,Normal,Attchd,165000
110.0,,1477,1839,14442,Normal,Attchd,257500
80.0,,1136,1136,9200,Normal,Attchd,140000
24.0,,855,1441,2289,Normal,Attchd,148500
60.0,,1095,1774,9600,Normal,2Types,87000
52.0,,768,792,9022,Normal,Detchd,109500
80.0,,2046,2046,11844,Partial,Attchd,372500
,,988,988,9945,Normal,Detchd,128500
50.0,,923,923,8012,Normal,Attchd,143000
55.0,,793,1520,4500,Abnorml,Detchd,159434
,,1291,1291,2887,Normal,Attchd,173000
90.0,,1626,1668,11248,Normal,Attchd,285000
58.0,,1195,1839,16770,Normal,Attchd,221000
,,1190,2090,5062,Normal,Attchd,207500
84.0,,874,1761,10207,Partial,Attchd,227875
,,551,1102,5105,Normal,Detchd,148800
60.0,,1419,1419,8089,Partial,Attchd,392000
61.0,,1362,1362,7577,Normal,Attchd,194700
,,848,848,4426,Normal,Attchd,141000
104.0,,2444,4316,21535,Normal,Attchd,755000
42.0,,1210,2519,26178,Normal,Attchd,335000
60.0,,1073,1073,5400,Abnorml,Detchd,108480
51.0,,927,1539,6120,Normal,Detchd,141500
54.0,,1112,1137,13811,Normal,Attchd,176000
50.0,,616,616,6000,Normal,Detchd,89000
57.0,,980,1148,6420,Normal,Detchd,123500
65.0,,894,894,8450,Normal,Detchd,138500
59.0,,1391,1391,4282,Normal,Attchd,196000
85.0,,1800,1800,14331,Normal,Attchd,312500
80.0,,1164,1164,9600,Normal,Attchd,140000
82.0,,1234,2576,12438,Partial,BuiltIn,361919
76.0,,360,1812,7630,Normal,Detchd,140000
70.0,,1473,1484,8400,Normal,Attchd,213000
70.0,,0,1092,5600,Normal,,55000
,,1643,1824,115149,Normal,Attchd,302000
48.0,,1324,1324,6240,Normal,Attchd,254000
65.0,,728,1456,9018,Partial,Attchd,179540
,,876,904,7162,Abnorml,Attchd,109900
56.0,,270,729,4130,Normal,,52000
66.0,,859,1178,8712,Abnorml,Detchd,102776
40.0,,1228,1228,4671,Normal,Attchd,189000
60.0,,960,960,9873,Normal,Detchd,129000
,,725,1479,13517,Normal,Attchd,130500
78.0,,1064,1350,10140,Normal,Attchd,165000
60.0,,718,2554,10800,Normal,Detchd,159500
80.0,,1176,1178,10000,Normal,Attchd,157000
96.0,,1311,2418,10542,Normal,Attchd,341000
69.0,,971,971,9920,Normal,Attchd,128500
,,1742,1742,6563,Normal,Attchd,275000
,,848,848,4426,Normal,Attchd,143000
70.0,,864,864,8120,Normal,Detchd,124500
60.0,,941,1470,8172,Normal,Detchd,135000
86.0,,1698,1698,13286,Normal,Attchd,320000
60.0,,864,864,6960,Normal,Detchd,120500
,,880,1680,21695,Normal,Attchd,222000
64.0,,1232,1232,7314,Normal,Attchd,194500
85.0,,1584,1776,11475,Abnorml,Detchd,110000
52.0,,780,1208,6240,Normal,Detchd,103000
39.0,,1595,1616,5389,Normal,Attchd,236500
73.0,,868,1146,9590,Normal,Attchd,187500
75.0,,1153,2031,11404,Normal,Attchd,222500
80.0,,864,1144,10000,Normal,Attchd,131400
,,948,948,8978,Family,Attchd,108000
60.0,,880,1768,10800,Normal,Detchd,163000
60.0,,0,1040,8544,Normal,Detchd,93500
72.0,,893,1801,10463,Normal,Attchd,239900
60.0,,1200,1200,10800,Alloca,,179000
65.0,,864,1728,9313,Normal,Attchd,190000
60.0,,264,1432,9600,Abnorml,Detchd,132000
65.0,,912,912,6768,Normal,Detchd,142000
65.0,,1349,1349,8450,Normal,Attchd,179000
70.0,,520,1464,12886,Normal,Attchd,175000
41.0,,1337,1337,5395,Normal,Attchd,180000
,,1142,2715,8963,Normal,BuiltIn,299800
,,952,2256,8795,Normal,BuiltIn,236000
65.0,,1240,2640,11700,Normal,Detchd,265979
59.0,,1720,1720,10593,Normal,Attchd,260400
50.0,,0,1529,8405,Normal,Detchd,98000
55.0,,576,1140,8800,Normal,,96500
,,660,1320,7750,Normal,Attchd,162000
79.0,,1479,1494,9236,Normal,Attchd,217000
80.0,,1030,2098,10240,Normal,Attchd,275500
61.0,,1026,1026,7930,Normal,Detchd,156000
34.0,,729,1471,3230,Normal,Detchd,172500
68.0,,866,1768,10769,Normal,Attchd,212000
,,672,1386,11616,Abnorml,Attchd,158900
24.0,,744,1501,2280,Normal,Detchd,179400
65.0,,1318,2531,12257,Normal,Attchd,290000
70.0,,864,864,9100,Normal,Detchd,127500
60.0,,1145,1301,6911,Normal,Detchd,100000
72.0,,756,1547,8640,Normal,Attchd,215200
82.0,,1252,2365,9430,Normal,Attchd,337000
30.0,,1494,1494,9549,Normal,Attchd,270000
75.0,,1498,1506,14587,Partial,Attchd,264132
80.0,,980,1714,10421,Normal,Attchd,196500
75.0,,983,1750,12508,Normal,Attchd,160000
70.0,,1860,1836,9100,Normal,Attchd,216837
47.0,,1650,3279,53504,Normal,BuiltIn,538000
,,858,858,7252,Normal,Detchd,134900
67.0,,836,1220,8877,Normal,Detchd,102000
94.0,,1029,1117,7819,Abnorml,Detchd,107000
70.0,,912,912,10150,Normal,Attchd,114500
110.0,,1935,1973,14226,Partial,Attchd,395000
32.0,,1204,1204,4500,Normal,Attchd,162000
86.0,,1614,1614,11210,Partial,Attchd,221500
100.0,,864,894,13350,Normal,Attchd,142500
60.0,,0,2020,8400,Normal,Detchd,144000
78.0,,975,1004,10530,Normal,Attchd,135000
63.0,,1237,1253,7875,Normal,Attchd,176000
65.0,,761,1603,7153,Normal,Attchd,175900
67.0,,1413,1430,16285,Normal,Attchd,187100
,,1097,1110,9101,Normal,Attchd,165500
35.0,,742,1484,6300,Normal,,128000
,,1372,1342,9790,Normal,Attchd,161500
60.0,,686,1652,10800,Normal,Detchd,139000
76.0,,956,2084,10142,Normal,BuiltIn,233000
50.0,,901,901,6000,Normal,Detchd,107900
,,832,2087,12205,Normal,Attchd,187500
43.0,,1145,1145,3182,Normal,Attchd,160200
,,1029,1062,11333,Normal,Attchd,146800
92.0,,1117,2013,9920,Normal,Attchd,269790
76.0,,1496,1496,9158,Partial,Attchd,225000
,,712,1895,10832,Normal,Attchd,194500
70.0,,650,1564,8400,Normal,Attchd,171000
71.0,,660,1285,8197,Normal,Attchd,143500
57.0,,773,773,7677,Abnorml,Attchd,110000
104.0,,1926,3140,13518,Partial,BuiltIn,485000
60.0,,731,1768,7200,Normal,Detchd,175000
79.0,,616,1688,12798,Normal,Attchd,200000
40.0,,1196,1196,4800,Normal,Detchd,109900
63.0,,728,1456,8199,Normal,Attchd,189000
107.0,,1734,2822,13891,Partial,BuiltIn,582933
75.0,,936,1128,9000,Family,Attchd,118000
91.0,,1417,1428,12274,Partial,Attchd,227680
75.0,,980,980,9750,Normal,Attchd,135500
144.0,,1324,1576,21384,Normal,Attchd,223500
85.0,,1024,1086,13400,Normal,Attchd,159950
90.0,,849,2138,8100,Normal,Detchd,106000
78.0,Fa,1040,1309,10140,Normal,Attchd,181000
,,848,848,4438,Normal,Attchd,144500
66.0,,540,1044,8712,Alloca,Basment,55993
75.0,,1442,1442,9750,Normal,Attchd,157900
45.0,,686,1250,8248,Normal,Detchd,116000
48.0,,1649,1661,12137,Normal,Attchd,224900
,,1008,1008,11425,Normal,Attchd,137000
,,1568,1689,13265,Normal,Attchd,271000
80.0,,1010,1052,8816,Normal,Attchd,155000
44.0,,1358,1358,6371,Partial,Attchd,224000
72.0,,798,1640,7226,Normal,Attchd,183000
60.0,,936,936,6000,Normal,Detchd,93000
,,847,1733,12394,Family,BuiltIn,225000
60.0,,778,1489,9900,Normal,Detchd,139500
81.0,,1489,1489,11216,Partial,Attchd,232600
114.0,,2078,2084,14803,Partial,Attchd,385000
50.0,,784,784,6130,Normal,,109500
65.0,,1454,1434,8529,Normal,Attchd,189000
,,1013,2126,28698,Abnorml,Attchd,185000
24.0,,600,1223,2544,Normal,Detchd,147400
80.0,,1392,1392,11900,Normal,Attchd,166000
30.0,,600,1200,3180,Normal,Detchd,151000
44.0,,941,1829,9548,Normal,Attchd,237000
100.0,,1516,1516,10004,Normal,Attchd,167000
75.0,,1144,1144,7875,Normal,Attchd,139950
60.0,,1067,1067,9600,Normal,Attchd,128000
90.0,,1559,1559,8100,Normal,Detchd,153500
21.0,,483,987,1680,Normal,Detchd,100000
75.0,,1099,1099,9525,Normal,Attchd,144000
70.0,,768,1200,11767,Normal,Detchd,130500
,,672,1482,12155,Normal,Detchd,140000
60.0,,650,1539,10440,Normal,Detchd,157500
82.0,,1127,1165,9020,Normal,Attchd,174900
80.0,,1800,1800,8000,Normal,,141000
100.0,,876,1416,12665,Normal,Detchd,153900
,,1390,1701,16647,Normal,Basment,171000
75.0,,740,1775,9317,Normal,Attchd,213000
36.0,,864,864,15523,Normal,Attchd,133500
75.0,,907,2358,45600,Normal,Detchd,240000
80.0,,528,1855,9600,Normal,Attchd,187000
36.0,,848,848,4435,Normal,Attchd,131500
,,1273,1456,3196,Normal,Attchd,215000
53.0,,918,1646,7128,Normal,Detchd,164000
,,1127,1445,12095,Normal,Attchd,158000
102.0,,1763,1779,17920,Abnorml,Attchd,170000
,,1040,1040,6897,Normal,Detchd,127000
,,940,1026,10970,Normal,Detchd,147000
65.0,,702,1481,8125,Normal,Attchd,174000
80.0,,1090,1370,10400,Family,Attchd,152000
,,1054,2654,11029,Normal,Attchd,250000
55.0,,912,1426,7642,Normal,Detchd,189950
75.0,,1039,1039,11625,Normal,Attchd,131500
81.0,,1040,1097,9672,Normal,Attchd,152000
70.0,,1148,1148,7931,Normal,Attchd,132500
72.0,,1372,1372,8640,Partial,Attchd,250580
,,1002,1002,8750,Normal,Detchd,148500
67.0,,1638,1646,10656,Partial,Attchd,248900
85.0,,1040,1120,6970,Normal,Attchd,129000
,,0,2320,14762,Normal,Attchd,169000
80.0,,1050,1949,9938,Normal,Attchd,236000
60.0,,894,894,6600,Normal,Detchd,109500
70.0,,804,1682,8750,Normal,Attchd,200500
74.0,,105,910,8892,Normal,Attchd,116000
60.0,,832,1268,12144,Normal,Attchd,133000
52.0,,676,1131,5720,Abnorml,Detchd,66500
75.0,,1184,2610,9000,Partial,BuiltIn,303477
94.0,,1064,1040,25286,Normal,Attchd,132250
74.0,,1462,2224,8834,Normal,Attchd,350000
88.0,,1109,1155,11782,Normal,Detchd,148000
,,864,864,7000,Normal,Attchd,136500
60.0,,1090,1090,7024,Normal,Attchd,157000
44.0,,1156,1717,13758,Normal,Attchd,187500
,,808,1593,9636,Normal,BuiltIn,178000
60.0,,795,2230,6204,Normal,Detchd,118500
65.0,,892,892,7150,Normal,Attchd,100000
50.0,,1698,1709,5119,Abnorml,Attchd,328900
70.0,,1626,1712,8393,Family,Attchd,145000
59.0,,816,1393,16466,Normal,Attchd,135500
95.0,,2217,2217,15865,Normal,Attchd,268000
128.0,,1505,1505,12160,Normal,Attchd,149500
60.0,,672,924,8064,Normal,Detchd,122900
70.0,,918,1683,11184,Normal,Attchd,172500
70.0,,1059,1068,8414,Normal,Attchd,154500
,,1383,1383,13284,Normal,Attchd,165000
64.0,,0,1535,7018,Alloca,Attchd,118858
71.0,,780,1796,7056,Normal,Attchd,140000
50.0,,951,951,8765,Abnorml,Detchd,106500
64.0,,0,2240,7018,Alloca,Detchd,142953
100.0,,2330,2364,12919,Partial,Attchd,611657
65.0,,912,1236,6993,Normal,Attchd,135000
,,858,858,7340,Normal,Detchd,110000
64.0,,992,1306,8712,Normal,Detchd,153000
63.0,,783,1509,7875,Normal,Attchd,180000
50.0,,1670,1670,14859,Partial,Attchd,240000
,,876,902,6173,Normal,Attchd,125500
80.0,,1056,1063,9920,Normal,Attchd,128000
116.0,,1623,1636,13501,Normal,Attchd,255000
86.0,,1017,2057,11500,Normal,Attchd,250000
,,864,902,8885,Normal,Attchd,131000
149.0,,742,1484,12589,Normal,Attchd,174000
80.0,,1105,2274,11600,Normal,Detchd,154300
,,1268,1268,9286,Normal,Detchd,143500
51.0,,768,1015,6120,Abnorml,Detchd,88000
82.0,,1001,2002,6270,Normal,2Types,145000
30.0,,612,1224,3000,Partial,Detchd,173733
21.0,,546,1092,2001,Normal,Attchd,75000
50.0,,480,480,9000,Abnorml,Detchd,35311
,,1134,1229,17140,Normal,Attchd,135000
103.0,,1104,2127,13125,Normal,Attchd,238000
87.0,,1184,1414,11029,Normal,Attchd,176500
70.0,,928,1721,8462,Normal,Attchd,201000
67.0,,1272,2200,8777,Normal,,145900
65.0,,1316,1316,10237,Partial,Attchd,169990
50.0,,1604,1617,8012,Normal,Attchd,193000
79.0,,1686,1686,10240,Normal,Attchd,207500
,,1126,1126,15611,Abnorml,Attchd,175000
93.0,,1181,2374,11999,Normal,BuiltIn,285000
,,832,1978,9900,Normal,Attchd,176000
,,1753,1788,11838,Normal,Attchd,236500
,,964,2236,13006,Normal,BuiltIn,222000
73.0,,1466,1466,8925,Normal,Attchd,201000
70.0,,925,925,9100,Normal,Detchd,117500
84.0,,1905,1905,11670,Normal,Attchd,320000
63.0,,1500,1500,8487,Normal,Attchd,190000
313.0,,585,2069,27650,Normal,Attchd,242000
52.0,,600,747,5825,Normal,Detchd,79900
67.0,,1176,1200,10083,Normal,Attchd,184900
75.0,,1113,1971,9675,Normal,Attchd,253000
73.0,,1391,1962,8760,Partial,Attchd,239799
,,1032,2403,24090,Normal,Attchd,244400
55.0,,1728,1728,12640,Normal,Attchd,150900
,,992,2060,8755,Normal,BuiltIn,214000
42.0,,1440,1440,7711,Abnorml,,150000
100.0,,1632,1632,25000,Normal,Attchd,143000
,,819,1344,14375,Abnorml,Basment,137500
98.0,,1088,1869,8820,Normal,Detchd,124900
70.0,,1144,1144,8163,Normal,Attchd,143000
85.0,,1616,1629,14536,Normal,Attchd,270000
65.0,,936,1776,14006,Normal,Attchd,192500
78.0,,1161,1381,9360,Normal,Attchd,197500
60.0,,864,864,7200,Normal,Detchd,129000
60.0,,828,965,7800,Abnorml,Detchd,119900
60.0,,768,768,7200,Normal,Detchd,133900
,,784,1968,11075,Normal,Attchd,172000
35.0,,945,980,9400,AdjLand,,127500
82.0,,979,1958,7136,Normal,Attchd,145000
24.0,,561,1229,1300,Normal,Attchd,124000
70.0,,1057,1057,7420,Normal,Detchd,132000
65.0,,1337,1337,8450,Normal,Attchd,185000
24.0,,696,1416,2572,Normal,Detchd,155000
50.0,,858,858,7207,Normal,,116500
,,1330,2872,12227,Normal,Attchd,272000
24.0,,804,1548,2308,Normal,Detchd,155000
122.0,,1800,1800,11923,Normal,Attchd,239000
80.0,,817,1894,11316,Normal,BuiltIn,214900
65.0,,783,1484,10237,Partial,Attchd,178900
130.0,,728,1308,9600,Normal,Detchd,160000
,,1098,1098,7390,Normal,Attchd,135000
50.0,,600,968,5925,Abnorml,,37900
75.0,,588,1095,10382,Normal,Attchd,140000
60.0,,720,1192,10800,Abnorml,,135000
36.0,,764,1626,2268,Normal,BuiltIn,173000
55.0,,918,918,7892,Normal,Attchd,99500
95.0,,1428,1428,11639,Partial,Attchd,182000
60.0,,728,2019,11414,Normal,Detchd,167500
,,673,1382,2651,Normal,Detchd,165000
51.0,,440,869,5900,Normal,,85500
35.0,,1241,1241,4274,Partial,Attchd,199900
68.0,,894,894,9450,Abnorml,Detchd,110000
80.0,,1121,1121,8816,Normal,Detchd,139000
,,944,999,12122,Normal,Attchd,178400
98.0,,1225,2612,12203,Normal,Attchd,336000
43.0,,1266,1266,3182,Normal,Attchd,159895
,,1128,2290,11250,Normal,Attchd,255900
75.0,,0,1734,10125,Normal,Attchd,126000
68.0,,1164,1164,10880,Normal,Detchd,125000
59.0,,485,1635,5310,Normal,Attchd,117000
83.0,,1930,1940,10159,Partial,Attchd,395192
,,848,2030,12046,Normal,Attchd,195000
65.0,,770,1576,8125,Partial,Attchd,197000
82.0,,1396,2392,9452,Normal,Attchd,348000
121.0,,916,1742,17671,Normal,Attchd,168000
80.0,,822,1851,9760,Normal,Attchd,187000
68.0,,750,1500,8846,Partial,Attchd,173900
96.0,,1700,1718,12456,Normal,Attchd,337500
51.0,,747,1230,4712,Abnorml,Detchd,121600
,,1050,1050,10659,Normal,Attchd,136500
,,1442,1442,11717,Normal,Attchd,185000
60.0,,1007,1077,9786,Normal,Detchd,91000
64.0,,1187,1208,6762,Normal,Attchd,206000
74.0,,0,944,10206,Normal,Detchd,82000
60.0,,691,691,5400,Abnorml,Detchd,86000
75.0,,1574,1574,11957,Normal,Attchd,232000
,,1680,1680,11500,Normal,Detchd,136905
43.0,,1346,1504,3182,Normal,Attchd,181000
65.0,,985,985,8385,Normal,Attchd,149900
,,1657,1657,12155,Normal,Attchd,163500
21.0,,546,1092,2217,Normal,Attchd,88000
43.0,,1710,1710,12118,Normal,Attchd,240000
60.0,,1008,1522,6000,Normal,,102000
115.0,,720,1271,21286,Normal,Attchd,135000
75.0,,0,1664,9825,Normal,,100000
55.0,,602,1502,10592,Normal,Detchd,165000
60.0,,1022,1022,7200,Normal,Detchd,85000
60.0,,1082,1082,11664,Normal,Detchd,119200
70.0,,810,1665,8400,Normal,Attchd,227000
73.0,,1504,1504,11883,Normal,Attchd,203000
,,1220,1360,5814,Abnorml,Attchd,187500
,,384,1472,10784,Normal,Attchd,160000
43.0,,1362,1506,3013,Normal,Attchd,213490
60.0,,1132,1132,7024,Normal,Attchd,176000
64.0,,1199,1220,7406,Partial,Attchd,194000
52.0,,912,1248,9439,Normal,Detchd,87000
43.0,,1346,1504,3182,Normal,Attchd,191000
,,1565,2898,15498,Abnorml,Attchd,287000
70.0,,882,882,7700,Normal,Detchd,112500
73.0,,1268,1264,9300,Normal,Attchd,167500
71.0,,1638,1646,9520,Partial,Attchd,293077
79.0,,768,1376,9492,Normal,Attchd,105000
21.0,,672,1218,1680,Normal,Detchd,118000
,,686,1928,7082,Normal,,160000
102.0,,824,3082,15863,Normal,Basment,197000
,,1338,2520,14541,Abnorml,Attchd,310000
,,1654,1654,8125,Normal,Attchd,230000
50.0,,920,954,6305,Normal,Basment,119750
,,0,845,11500,Normal,Detchd,84000
89.0,,1620,1620,12898,Normal,Attchd,315500
,,1055,2263,9240,Normal,BuiltIn,287000
21.0,,546,1344,1533,Normal,,97000
21.0,,630,630,1477,Normal,Attchd,80000
88.0,,1134,1803,13125,Normal,Attchd,155000
,,800,1632,9130,Normal,Attchd,173000
34.0,,1306,1306,5381,Normal,Attchd,196000
86.0,,1475,2329,11839,Normal,Attchd,262280
80.0,,2524,2524,9600,Normal,Attchd,278000
,,0,1733,13680,Normal,Attchd,139600
85.0,,1992,2868,16056,Partial,BuiltIn,556581
57.0,,990,990,9245,Normal,Detchd,145000
100.0,,0,1771,21750,Normal,Attchd,115000
60.0,,0,930,11100,Abnorml,Detchd,84900
73.0,,1302,1302,8993,Partial,Attchd,176485
103.0,,1316,1316,11175,Partial,Attchd,200141
100.0,,816,1977,9500,Normal,Attchd,165000
68.0,,1216,1526,8562,Normal,Basment,144500
90.0,,1065,1989,11367,Normal,Attchd,255000
104.0,,1193,1523,11361,Abnorml,Attchd,180000
43.0,,1364,1364,7052,Normal,Attchd,185850
,,973,1850,29959,Normal,BuiltIn,248000
96.0,,1104,2184,11308,Normal,Attchd,335000
,,854,1991,11275,Normal,Detchd,220000
41.0,,1338,1338,4920,Normal,Attchd,213500
120.0,,894,894,18000,Normal,Detchd,81000
85.0,,662,2337,13600,Normal,Detchd,90000
50.0,,1103,1103,6000,Normal,Detchd,110500
,,1154,1154,11000,Normal,Attchd,154000
80.0,,1306,2260,14000,Normal,Attchd,328000
59.0,,799,1571,7837,Normal,Attchd,178000
80.0,,780,1611,9760,Normal,Attchd,167900
42.0,,942,2521,3964,Normal,Attchd,151400
60.0,,845,893,9600,Normal,Detchd,135000
72.0,,1048,1048,10152,Normal,Attchd,135000
78.0,,727,1556,11700,Normal,Attchd,154000
50.0,,810,1456,7585,Normal,Detchd,91500
75.0,,690,1426,7950,Normal,Attchd,159500
74.0,,1240,1240,8556,Normal,Attchd,194000
75.0,,800,1740,13125,Normal,Attchd,219500
60.0,,796,1466,10800,Normal,Attchd,170000
,,1096,1096,15870,Abnorml,Attchd,138800
37.0,,848,848,4435,Normal,Attchd,155900
65.0,,990,990,8775,Normal,Attchd,126000
80.0,,1258,1258,11040,Abnorml,Attchd,145000
75.0,,1040,1040,7500,Normal,Attchd,133000
70.0,,1459,1459,8749,Normal,Attchd,192000
80.0,,1251,1251,8800,Normal,Attchd,160000
,,691,1498,13031,Normal,Attchd,187500
73.0,,936,996,9069,Normal,Attchd,147000
,,546,1092,1974,Normal,Attchd,83500
85.0,,1082,1953,10574,Normal,Attchd,252000
24.0,,970,1709,2522,Normal,Detchd,137500
37.0,,1247,1247,3316,Normal,Attchd,197000
60.0,,0,1040,8544,Normal,Detchd,92900
24.0,,600,1252,2160,Normal,Detchd,160000
60.0,,1181,1694,8400,Normal,Detchd,136500
71.0,,864,1200,9230,Normal,Detchd,146000
74.0,,936,936,5868,Normal,Attchd,129000
78.0,,1314,1314,9317,Normal,Attchd,176432
60.0,,684,1355,6882,Normal,,127000
,,1074,1088,3696,Normal,Attchd,170000
50.0,,672,1324,6000,Normal,Detchd,128000
82.0,,1271,1601,11880,Abnorml,Attchd,157000
60.0,,290,438,8400,Normal,Detchd,60000
61.0,,950,950,9758,Normal,Detchd,119500
70.0,,1010,1134,7000,Family,Attchd,135000
79.0,,655,1194,8910,Normal,BuiltIn,159500
24.0,,630,1302,2016,Normal,Detchd,106000
98.0,,1463,2622,12256,Normal,Attchd,325000
114.0,,910,1442,10357,Normal,Attchd,179900
168.0,,868,2021,23257,Partial,BuiltIn,274725
,,924,1690,8063,Abnorml,Attchd,181000
107.0,,1836,1836,11362,Normal,Attchd,280000
,,773,1658,8000,Normal,Attchd,188000
80.0,,803,1964,10480,Normal,Attchd,205000
73.0,,816,816,7100,Normal,Detchd,129900
66.0,,1008,1008,8923,Normal,Attchd,134500
90.0,,833,833,5400,Normal,Detchd,117000
93.0,,1734,1734,12085,Partial,Attchd,318000
,,408,1419,7750,Normal,BuiltIn,184100
57.0,,894,894,9764,Normal,Attchd,130000
85.0,,533,1601,13825,Normal,BuiltIn,140000
